name,building_type_name,osm_id,geometry,lat,lon,index_right,subarea
building_4497,building_apartments,W1335893738,"POLYGON ((-2.9429664 43.2575732, -2.9431088 43.2575803, -2.9431265 43.2573774, -2.9431106 43.2573509, -2.9431088 43.2573477, -2.9430365 43.2573687, -2.9430254 43.2573493, -2.9429663 43.2573676, -2.9429522 43.257372, -2.9429806 43.2574223, -2.9429664 43.2575732))",43.25746496911634,-2.943045465342453,6.0,Errekalde
building_4498,building_apartments,W1335893739,"POLYGON ((-2.9427991 43.2575651, -2.9429664 43.2575732, -2.9429806 43.2574223, -2.9429522 43.257372, -2.9428541 43.2574014, -2.9428129 43.2574062, -2.942812 43.2574346, -2.9427991 43.2575651))",43.257480575675224,-2.9428931127896103,6.0,Errekalde
building_4499,building_apartments,W1335893740,"POLYGON ((-2.9426164 43.2575574, -2.9427991 43.2575651, -2.942812 43.2574346, -2.9426267 43.2574249, -2.9426164 43.2575574))",43.2574953250277,-2.942713346562828,6.0,Errekalde
building_4500,building_apartments,W1335893741,"POLYGON ((-2.9423209 43.2575425, -2.9426164 43.2575574, -2.9426267 43.2574249, -2.9426283 43.2574043, -2.9425942 43.2574043, -2.9425902 43.2573955, -2.9425645 43.2573965, -2.9425636 43.2574236, -2.9424207 43.2574159, -2.9424207 43.2574223, -2.9423968 43.2574217, -2.9423968 43.2574127, -2.9423653 43.2574127, -2.9423653 43.2573903, -2.9423334 43.2573907, -2.9423209 43.2575425))",43.25748053012328,-2.942476337477116,6.0,Errekalde
building_4501,building_apartments,W1335893742,"POLYGON ((-2.942069 43.2575299, -2.9423209 43.2575425, -2.9423334 43.2573907, -2.94223 43.2574036, -2.9422266 43.2573959, -2.9420446 43.2574065, -2.942069 43.2575299))",43.257466370668006,-2.9421957697966237,6.0,Errekalde
building_4502,building_apartments,W1335893743,"POLYGON ((-2.9418609 43.2575202, -2.942069 43.2575299, -2.9420446 43.2574065, -2.9418711 43.2573991, -2.9418609 43.2575202))",43.257465774468244,-2.941961604897542,6.0,Errekalde
building_4503,building_apartments,W1335893744,"POLYGON ((-2.9418734 43.2573526, -2.9417665 43.2573778, -2.9417007 43.2574343, -2.941648 43.2574795, -2.9416391 43.2574938, -2.9416459 43.257507, -2.9416613 43.2575114, -2.9418609 43.2575202, -2.9418711 43.2573991, -2.9418734 43.2573526))",43.257450405682455,-2.9417790720490453,6.0,Errekalde
building_4504,building_apartments,W1335893745,"POLYGON ((-2.9418734 43.2573526, -2.9418711 43.2573991, -2.9420446 43.2574065, -2.942026 43.257317, -2.9418734 43.2573526))",43.257368575334056,-2.94196270130842,6.0,Errekalde
building_4505,building_apartments,W1335893746,"POLYGON ((-2.9421759 43.2572805, -2.942026 43.257317, -2.9420446 43.2574065, -2.9422266 43.2573959, -2.9421759 43.2572805))",43.25735056410131,-2.9421225852394035,6.0,Errekalde
building_4506,building_apartments,W1335893747,"POLYGON ((-2.94223 43.2574036, -2.9423334 43.2573907, -2.9423653 43.2573903, -2.9423937 43.25739, -2.9423913 43.2573847, -2.9423658 43.2573288, -2.9423552 43.2573055, -2.9423272 43.257244, -2.9421759 43.2572805, -2.9422266 43.2573959, -2.94223 43.2574036))",43.25732827362821,-2.942283466123943,6.0,Errekalde
building_4507,building_yes,W1335940596,"POLYGON ((-2.9765617 43.2784235, -2.9765281 43.2783356, -2.9764397 43.2782132, -2.9763547 43.2781359, -2.9762362 43.278056, -2.9760043 43.277971, -2.975992 43.2779968, -2.9759336 43.2779826, -2.9758911 43.2780857, -2.9759495 43.2780998, -2.9760663 43.2781346, -2.9762167 43.2782197, -2.9763069 43.2783137, -2.9763769 43.2784175, -2.9764139 43.2784103, -2.9764275 43.2784413, -2.9765617 43.2784235))",43.278190816143194,-2.9762525867543546,7.0,Basurtu-Zorrotza
building_4508,building_apartments,W1335961411,"POLYGON ((-2.9421421 43.2570526, -2.9421979 43.2570859, -2.9422174 43.2570801, -2.9422263 43.2570904, -2.9422453 43.2570865, -2.9422409 43.2570772, -2.942283 43.2570662, -2.9422781 43.2570552, -2.942291 43.2570436, -2.942291 43.2570329, -2.9423012 43.2570397, -2.942318 43.2570387, -2.9423353 43.2570229, -2.9423349 43.2570113, -2.9423211 43.2570023, -2.9423344 43.2569948, -2.9423633 43.2570116, -2.9423761 43.2570262, -2.9424306 43.2569997, -2.9424054 43.2569755, -2.9424289 43.2569638, -2.9424233 43.2569573, -2.9423163 43.2568977, -2.9421421 43.2570526))",43.25699709473585,-2.94228982708678,6.0,Errekalde
building_4509,building_apartments,W1335961412,"POLYGON ((-2.9428588 43.2570236, -2.9430357 43.2569806, -2.9430055 43.2569053, -2.9429689 43.2569138, -2.9429265 43.2568167, -2.942893 43.2568257, -2.9428668 43.2568312, -2.9427857 43.2568512, -2.9427808 43.2568699, -2.9428163 43.2569267, -2.9428588 43.2570236))",43.25692234390479,-2.94290191792661,6.0,Errekalde
building_4510,building_apartments,W1335961413,"POLYGON ((-2.9431829 43.256861, -2.9432037 43.2569135, -2.9431785 43.2569471, -2.9430357 43.2569806, -2.9430055 43.2569053, -2.9430042 43.2569024, -2.9431829 43.256861))",43.25692029725398,-2.943106099544201,6.0,Errekalde
building_4511,building_apartments,W1335961414,"POLYGON ((-2.9431829 43.256861, -2.9431418 43.2567668, -2.9429265 43.2568167, -2.9429689 43.2569138, -2.9430055 43.2569053, -2.9430042 43.2569024, -2.9431829 43.256861))",43.256839204177815,-2.9430543517580463,6.0,Errekalde
building_4512,building_apartments,W1335961415,"POLYGON ((-2.9431418 43.2567668, -2.9430889 43.2566375, -2.9428268 43.2566948, -2.9428176 43.2567272, -2.9427963 43.2568266, -2.9427857 43.2568512, -2.9428668 43.2568312, -2.942834 43.2567485, -2.9428611 43.2567433, -2.942893 43.2568257, -2.9429265 43.2568167, -2.9431418 43.2567668))",43.256738178786314,-2.9429662705067514,6.0,Errekalde
building_4513,building_apartments,W1335961416,"POLYGON ((-2.9430889 43.2566375, -2.9430362 43.2565093, -2.942873 43.2565456, -2.9428673 43.2565461, -2.9428268 43.2566948, -2.9430889 43.2566375))",43.256602061637075,-2.9429550618601157,6.0,Errekalde
building_4514,building_apartments,W1335961417,"POLYGON ((-2.9428269 43.2563914, -2.9428987 43.2563191, -2.9429604 43.2563262, -2.9430362 43.2565093, -2.942873 43.2565456, -2.9428815 43.2565162, -2.9428757 43.2565148, -2.9428881 43.2564728, -2.9429176 43.2564675, -2.9429036 43.2564313, -2.9428868 43.2564447, -2.9428464 43.2564224, -2.9428597 43.2564082, -2.9428269 43.2563914))",43.256431792643305,-2.942933790644444,6.0,Errekalde
building_4515,building_apartments,W1335961418,"POLYGON ((-2.9428269 43.2563914, -2.9427396 43.256477, -2.9428571 43.2565396, -2.942873 43.2565257, -2.9428655 43.2565199, -2.9428686 43.2565135, -2.9428757 43.2565148, -2.9428881 43.2564728, -2.9428686 43.2564644, -2.9428868 43.2564447, -2.9428464 43.2564224, -2.9428597 43.2564082, -2.9428269 43.2563914))",43.256467611746125,-2.9428249334097796,6.0,Errekalde
