name,building_type_name,osm_id,geometry,lat,lon
building_8344,building_yes,W433067330,"POLYGON ((-79.8979673 -2.1931841, -79.8979847 -2.1932448, -79.8978928 -2.1932711, -79.8978754 -2.1932104, -79.8979673 -2.1931841))",-2.1932276,-79.89793005000001
building_8345,building_yes,W433067331,"POLYGON ((-79.8981401 -2.193682, -79.898159 -2.1937811, -79.8979461 -2.1938217, -79.8979272 -2.1937226, -79.8981401 -2.193682))",-2.19375185,-79.8980431
building_8346,building_yes,W433067332,"POLYGON ((-79.8982149 -2.1939795, -79.898189 -2.1938734, -79.8978982 -2.1939444, -79.8979241 -2.1940505, -79.8982149 -2.1939795))",-2.19396195,-79.89805654999999
building_8347,building_yes,W433067333,"POLYGON ((-79.898356 -2.1943813, -79.8983991 -2.1945446, -79.8982471 -2.1945845, -79.8981633 -2.1946067, -79.8981203 -2.1944433, -79.898356 -2.1943813))",-2.194493952369484,-79.89825966471138
building_8348,building_yes,W433067334,"POLYGON ((-79.8984795 -2.1947677, -79.8985148 -2.1948974, -79.8983595 -2.1949396, -79.8983242 -2.1948099, -79.8984795 -2.1947677))",-2.1948536500000007,-79.89841949999997
building_8349,building_yes,W433067335,"POLYGON ((-79.8983991 -2.1945446, -79.8984106 -2.1945884, -79.8982586 -2.1946283, -79.8982471 -2.1945845, -79.8983991 -2.1945446))",-2.1945864499999996,-79.89832885000001
building_8350,building_yes,W433067336,"POLYGON ((-79.8987068 -2.1954744, -79.8987313 -2.1955665, -79.8986413 -2.1955904, -79.8985072 -2.1956261, -79.8984826 -2.1955339, -79.8987068 -2.1954744))",-2.1955502210305045,-79.89860694685612
building_8351,building_yes,W433067337,"POLYGON ((-79.8987313 -2.1955665, -79.8987445 -2.1956107, -79.8986522 -2.1956333, -79.8986413 -2.1955904, -79.8987313 -2.1955665))",-2.19560021875791,-79.89869265233905
building_8352,building_yes,W433067338,"POLYGON ((-79.8987445 -2.1956107, -79.8987707 -2.1957147, -79.8985261 -2.1957762, -79.8984999 -2.1956723, -79.8986522 -2.1956333, -79.8987445 -2.1956107))",-2.1956933104409035,-79.89863530915973
building_8353,building_residential,W433067339,"POLYGON ((-79.8988563 -2.1958632, -79.8989071 -2.1960203, -79.8988035 -2.1960537, -79.8987528 -2.1958966, -79.8988563 -2.1958632))",-2.1959584609322733,-79.89882993030331
building_8354,building_yes,W433067340,"POLYGON ((-79.8989266 -2.1960946, -79.8989545 -2.1961841, -79.8986895 -2.1962667, -79.8986615 -2.1961772, -79.8989266 -2.1960946))",-2.1961806496198424,-79.89880801719039
building_8355,building_yes,W433067341,"POLYGON ((-79.8988921 -2.1962985, -79.8989579 -2.1962787, -79.8989786 -2.1963477, -79.8989128 -2.1963674, -79.8988921 -2.1962985))",-2.1963230704054433,-79.89893535657326
building_8356,building_yes,W433067342,"POLYGON ((-79.8990022 -2.1964367, -79.8990183 -2.1964935, -79.8988479 -2.1965415, -79.8988319 -2.1964847, -79.8990022 -2.1964367))",-2.196489100735701,-79.89892508225014
building_8357,building_residential,W433067640,"POLYGON ((-79.9423174 -2.2244114, -79.9423873 -2.224492, -79.9423122 -2.2245556, -79.9422439 -2.2244734, -79.9423174 -2.2244114))",-2.224483266519374,-79.94231532252033
building_8358,building_yes,W433067641,"POLYGON ((-79.9422011 -2.2242559, -79.9421281 -2.2243076, -79.9420894 -2.224253, -79.9421624 -2.2242013, -79.9422011 -2.2242559))",-2.22425445,-79.94214525
building_8359,building_yes,W433067711,"POLYGON ((-79.8879303 -2.2741523, -79.8878825 -2.2740835, -79.8878562 -2.2741018, -79.88791 -2.2741791, -79.8879303 -2.2741523))",-2.2741293810859755,-79.88789451303903
building_8360,building_yes,W433067712,"POLYGON ((-79.8869514 -2.2754645, -79.8869031 -2.2754021, -79.8868491 -2.2754438, -79.8868695 -2.2754701, -79.8868563 -2.2754804, -79.8868842 -2.2755164, -79.8869514 -2.2754645))",-2.2754589965527092,-79.88689735429759
building_8361,building_yes,W433067714,"POLYGON ((-79.8867048 -2.2758445, -79.886677 -2.2758796, -79.8866067 -2.2757711, -79.8866423 -2.2757481, -79.8867048 -2.2758445))",-2.275811117482986,-79.88665739325724
building_8362,building_yes,W433067716,"POLYGON ((-79.8873008 -2.2759413, -79.8872693 -2.2759157, -79.8872429 -2.2759481, -79.8872744 -2.2759737, -79.8873008 -2.2759413))",-2.2759446999999993,-79.88727184999999
building_8363,building_residential,W433067718,"POLYGON ((-79.8855556 -2.2772313, -79.8855989 -2.2772985, -79.8855031 -2.2773601, -79.8854598 -2.2772929, -79.8855556 -2.2772313))",-2.2772957,-79.88552935000001
building_8364,building_yes,W433067867,"POLYGON ((-79.9437345 -2.2325615, -79.943782 -2.2326111, -79.9437419 -2.2326495, -79.9436944 -2.2325999, -79.9437345 -2.2325615))",-2.2326055,-79.94373820000001
building_8365,building_apartments,W433068232,"POLYGON ((-79.9432821 -2.2268275, -79.9433641 -2.2267563, -79.943325 -2.2267114, -79.943243 -2.2267826, -79.9432821 -2.2268275))",-2.226769450000001,-79.94330354999998
building_8366,building_yes,W433068347,"POLYGON ((-79.8867988 -2.2789409, -79.8868351 -2.278993, -79.8867841 -2.2790285, -79.8867478 -2.2789763, -79.8867988 -2.2789409))",-2.2789846828149605,-79.8867914472902
building_8367,building_residential,W433068622,"POLYGON ((-79.9394111 -2.2272679, -79.9392912 -2.2273964, -79.9392446 -2.2273529, -79.9393645 -2.2272245, -79.9394111 -2.2272679))",-2.2273104379710165,-79.9393278409156
building_8368,building_yes,W433069676,"POLYGON ((-79.8986091 -2.196565, -79.8986379 -2.1966606, -79.8985334 -2.1966921, -79.8985045 -2.1965965, -79.8986091 -2.196565))",-2.196628543773467,-79.89857122037517
building_8369,building_yes,W433070423,"POLYGON ((-79.8867628 -2.2807797, -79.8866484 -2.2808594, -79.886816 -2.2810996, -79.8869304 -2.2810198, -79.8867628 -2.2807797))",-2.2809396350745663,-79.88678940306127
building_8370,building_residential,W433070424,"POLYGON ((-79.8867851 -2.2810952, -79.8868267 -2.2811565, -79.8867117 -2.2812344, -79.8866701 -2.281173, -79.8867851 -2.2810952))",-2.2811647843137766,-79.88674839069469
building_8371,building_yes,W433070442,"POLYGON ((-79.939541 -2.2320472, -79.9393628 -2.2323121, -79.939487 -2.2323955, -79.9396652 -2.2321305, -79.939541 -2.2320472))",-2.232221335044399,-79.93951399715074
building_8372,building_yes,W433076798,"POLYGON ((-79.9413507 -2.2291879, -79.9413168 -2.2292455, -79.9412766 -2.2292219, -79.9413106 -2.2291642, -79.9413507 -2.2291879))",-2.2292048746189197,-79.94131366600209
building_8373,building_yes,W433076800,"POLYGON ((-79.9410728 -2.2289666, -79.9410158 -2.2290374, -79.9409699 -2.2290005, -79.9410268 -2.2289297, -79.9410728 -2.2289666))",-2.2289835443180457,-79.94102133391367
building_8374,building_residential,W433077482,"POLYGON ((-79.8829501 -2.2598848, -79.8828877 -2.2597657, -79.8829681 -2.2597435, -79.8830319 -2.2598613, -79.8829501 -2.2598848))",-2.259814059105387,-79.88295952304388
