name,building_type_name,osm_id,geometry,lat,lon
building_36,building_yes,W133276644,"POLYGON ((75.8052741 26.9054818, 75.8053274 26.9055833, 75.8056201 26.9054612, 75.8055669 26.9053597, 75.8052741 26.9054818))",26.905471501059875,75.80544711553141
building_37,building_yes,W133276648,"POLYGON ((75.8033564 26.9076342, 75.8031678 26.9077075, 75.8032888 26.9079549, 75.8034774 26.9078816, 75.8033564 26.9076342))",26.90779455,75.80332260000002
building_38,building_yes,W133276649,"POLYGON ((75.8034981 26.9068446, 75.8033466 26.9069032, 75.8034145 26.9070427, 75.803566 26.9069841, 75.8034981 26.9068446))",26.906943650000006,75.80345630000001
building_39,building_yes,W134990320,"POLYGON ((75.8464369 26.9536623, 75.8462285 26.953684, 75.8462312 26.9537051, 75.846132 26.9537153, 75.8461294 26.9536955, 75.8459412 26.9537162, 75.8459421 26.9537346, 75.8459318 26.9537506, 75.8459136 26.9537592, 75.845893 26.9537579, 75.8458764 26.9537469, 75.8458689 26.9537298, 75.8458728 26.9537117, 75.8458869 26.9536983, 75.8459069 26.9536936, 75.8458814 26.9535151, 75.8458355 26.9535205, 75.8458206 26.9534192, 75.8458728 26.9534131, 75.8458437 26.9532159, 75.8458339 26.953222, 75.8458132 26.9532225, 75.8457955 26.9532131, 75.8457861 26.9531967, 75.845788 26.9531784, 75.8458006 26.9531637, 75.8458199 26.9531574, 75.8458401 26.9531611, 75.8458549 26.9531739, 75.8458598 26.9531918, 75.8463632 26.9531388, 75.8463622 26.9531204, 75.8463724 26.9531044, 75.8463906 26.9530957, 75.8464112 26.953097, 75.8464278 26.9531078, 75.8464354 26.953125, 75.8464316 26.953143, 75.8464176 26.9531565, 75.8463976 26.9531613, 75.8464062 26.9532329, 75.8464438 26.9535476, 75.8464527 26.9536224, 75.8464667 26.953618, 75.8464871 26.9536207, 75.8465028 26.9536326, 75.846509 26.9536502, 75.8465037 26.953668, 75.8464886 26.9536805, 75.8464683 26.9536839, 75.8464491 26.9536771, 75.8464369 26.9536623))",26.953428836439635,75.84614567776043
building_40,building_yes,W163413256,"POLYGON ((75.7954904 26.9165951, 75.7954914 26.9165413, 75.795507 26.9165416, 75.7955081 26.9164799, 75.7955272 26.9164802, 75.7955278 26.9164449, 75.7955597 26.9164453, 75.7955594 26.9164645, 75.795559 26.9164867, 75.7956357 26.9164878, 75.7956342 26.916573, 75.7955553 26.9165719, 75.7955549 26.916596, 75.7954904 26.9165951))",26.91652997419749,75.79556054788544
building_41,building_yes,W163417219,"POLYGON ((75.8434255 26.9544821, 75.8435006 26.9544654, 75.8435194 26.9545323, 75.8434443 26.954549, 75.8434255 26.9544821))",26.954507200000002,75.84347245
building_42,building_yes,W163417220,"POLYGON ((75.8432367 26.9539246, 75.8433411 26.953899, 75.8433674 26.953984, 75.843263 26.9540096, 75.8432367 26.9539246))",26.9539543,75.84330204999999
building_43,building_yes,W163686790,"POLYGON ((75.8543241 26.917387, 75.85438 26.917375, 75.8543654 26.9173209, 75.8543095 26.9173329, 75.8543241 26.917387))",26.917353950000003,75.85434475000001
building_44,building_yes,W163686792,"POLYGON ((75.8561105 26.9174747, 75.8561755 26.9174437, 75.856193 26.9174729, 75.8561279 26.9175039, 75.8561105 26.9174747))",26.917473799629974,75.85615173362591
building_45,building_yes,W163686796,"POLYGON ((75.8538858 26.917597, 75.8539211 26.9175873, 75.853933 26.9176217, 75.8538977 26.9176314, 75.8538858 26.917597))",26.917609350000003,75.85390939999999
