name,building_type_name,osm_id,geometry,lat,lon
building_26,building_yes,W25560312,"POLYGON ((115.8646544 -31.9514522, 115.8644223 -31.9518186, 115.8644275 -31.9518732, 115.8644639 -31.9519274, 115.8645144 -31.9519561, 115.8644787 -31.952012, 115.8645482 -31.9520382, 115.8646182 -31.9520553, 115.8647348 -31.9520638, 115.8648408 -31.9520496, 115.8649117 -31.9520257, 115.8649816 -31.9519961, 115.8649438 -31.9519505, 115.8650485 -31.9518766, 115.8650339 -31.9518493, 115.8650768 -31.9517913, 115.86497 -31.9517421, 115.8650513 -31.9516149, 115.8646544 -31.9514522))",-31.951787746436462,115.86474219677253
building_27,building_yes,W30736563,"POLYGON ((115.8605891 -31.9504415, 115.8607777 -31.9503352, 115.8609801 -31.9504312, 115.8611035 -31.9503523, 115.8612612 -31.9504158, 115.8612677 -31.9508856, 115.8611362 -31.950946, 115.8610082 -31.9508962, 115.8609051 -31.9509424, 115.8607486 -31.9508642, 115.8607358 -31.9508349, 115.8606018 -31.950765, 115.8605891 -31.9504415))",-31.950639330937573,115.86094469399993
building_28,building_yes,W43063936,"POLYGON ((115.8252362 -31.9855683, 115.8251635 -31.9857413, 115.8250431 -31.9857049, 115.8250401 -31.985712, 115.8249442 -31.985683, 115.8249576 -31.9856513, 115.8248226 -31.9856104, 115.8248859 -31.98546, 115.8250226 -31.9855014, 115.8250157 -31.9855178, 115.8251058 -31.9855451, 115.8251119 -31.9855307, 115.8252362 -31.9855683))",-31.98560154522164,115.82503073694326
building_29,building_yes,W44038654,"POLYGON ((115.8486119 -31.9484109, 115.849062 -31.9485637, 115.8490006 -31.948695, 115.8485506 -31.9485423, 115.8486119 -31.9484109))",-31.948552966394296,115.84880626015766
building_30,building_yes,W44038655,"POLYGON ((115.8482867 -31.9484156, 115.8485246 -31.9484964, 115.8484559 -31.9486479, 115.8482179 -31.9485672, 115.8482867 -31.9484156))",-31.948531772359264,115.8483712586735
building_31,building_yes,W44038656,"POLYGON ((115.8482176 -31.9485783, 115.8484541 -31.9486586, 115.8483695 -31.9488399, 115.8481329 -31.9487596, 115.8482176 -31.9485783))",-31.948709104431614,115.84829351923992
building_32,building_yes,W44038657,"POLYGON ((115.8490756 -31.948844, 115.8492285 -31.9488959, 115.8491631 -31.949036, 115.8490102 -31.9489841, 115.8490756 -31.948844))",-31.948940000000004,115.84911935000002
building_33,building_yes,W44038658,"POLYGON ((115.8488675 -31.9489493, 115.8491537 -31.9490464, 115.8491 -31.9491615, 115.8488138 -31.9490644, 115.8488675 -31.9489493))",-31.949055400000002,115.84898374999999
building_34,building_yes,W44038659,"POLYGON ((115.8488068 -31.9491004, 115.8490803 -31.9491932, 115.8490271 -31.9493072, 115.8487535 -31.9492144, 115.8488068 -31.9491004))",-31.949203801011304,115.848916917744
building_35,building_yes,W44038660,"POLYGON ((115.8471225 -31.9484878, 115.8474743 -31.9485938, 115.8474357 -31.9486871, 115.8470838 -31.948581, 115.8471225 -31.9484878))",-31.948587433662507,115.84727909337563
building_36,building_yes,W44038661,"POLYGON ((115.8471675 -31.9483845, 115.8475112 -31.948488, 115.8474735 -31.9485792, 115.8471298 -31.9484755, 115.8471675 -31.9483845))",-31.948481818476875,115.8473205552333
building_37,building_yes,W44038662,"POLYGON ((115.8472175 -31.9482333, 115.8475625 -31.9483373, 115.8475174 -31.9484458, 115.8471726 -31.9483418, 115.8472175 -31.9482333))",-31.948339549621448,115.84736751613241
building_38,building_yes,W44038663,"POLYGON ((115.8480546 -31.948123, 115.8481855 -31.9481625, 115.8481167 -31.9483288, 115.8479858 -31.9482893, 115.8480546 -31.948123))",-31.948225899999994,115.84808565000002
building_39,building_yes,W44038664,"POLYGON ((115.8479399 -31.9482973, 115.8480679 -31.9483359, 115.8480299 -31.9484276, 115.847902 -31.9483891, 115.8479399 -31.9482973))",-31.948362465313398,115.84798492088672
building_40,building_yes,W44038665,"POLYGON ((115.847366 -31.9478864, 115.8474478 -31.9479111, 115.8473663 -31.9481078, 115.8472845 -31.9480832, 115.847366 -31.9478864))",-31.94799711669043,115.84736614997746
building_41,building_yes,W44038666,"POLYGON ((115.8458778 -31.9482515, 115.84602 -31.9482983, 115.8458948 -31.9485694, 115.845749 -31.9485209, 115.8458778 -31.9482515))",-31.948410626848887,115.8458851397602
building_42,building_yes,W44038667,"POLYGON ((115.8461606 -31.9481337, 115.846256 -31.9481661, 115.8460477 -31.9486122, 115.8459523 -31.9485798, 115.8461606 -31.9481337))",-31.948372950000003,115.84610414999999
