building_type,osmid,coord,distance,rise,fall
amenity_school,W434009170,"(-2.2252466615609836, -79.93683756354523)",182.362,0,0
amenity_place_of_worship,N6152709486,"(-2.226654, -79.9345923)",222.905,0,0
amenity_place_of_worship,N9829848435,"(-2.2271492, -79.9363632)",264.213,0,0
