building_type,osmid,coord,distance,rise,fall
amenity_school,W1235082482,"(-2.056402936675365, -79.95937525101135)",0.0,0,0
amenity_school,W1235092931,"(-2.053856707870092, -79.95913624013423)",161.243,0,0
amenity_place_of_worship,N6058876587,"(-2.0538756, -79.9586106)",268.07399999999996,0,0
