building_type,osmid,coord,distance,rise,fall
amenity_place_of_worship,W431059749,"(-2.18865905, -79.88921290000002)",118.22,0,0
amenity_school,N4333824814,"(-2.1880121, -79.8882157)",190.803,0,0
