time,osmid,help_convined,help_independent,building_type_name,osm_id
2024-01-01 00:00:00,N4943751425,14,14,amenity_school,N4943751425
2024-01-01 00:00:00,N4897491895,14,20,amenity_school,N4897491895
2024-01-01 00:00:00,N4902164954,13,13,amenity_place_of_worship,N4902164954
2024-01-01 00:00:00,N4108293489,13,13,amenity_school,N4108293489
2024-01-01 00:00:00,N4592650389,13,19,amenity_place_of_worship,N4592650389
2024-01-01 00:00:00,N4506675831,13,13,tourism_hostel,N4506675831
2024-01-01 00:00:00,N11898449671,11,11,amenity_school,N11898449671
2024-01-01 00:00:00,N984465153,11,13,amenity_school,N984465153
2024-01-01 00:00:00,N4921675768,11,11,amenity_school,N4921675768
2024-01-01 00:00:00,W260543959,10,10,amenity_school,W260543959
2024-01-01 00:00:00,W112456397,10,10,amenity_school,W112456397
2024-01-01 00:00:00,N4897352994,10,25,amenity_school,N4897352994
2024-01-01 00:00:00,W577099478,10,11,amenity_school,W577099478
2024-01-01 00:00:00,N4908932952,9,9,amenity_school,N4908932952
2024-01-01 00:00:00,N10201835817,9,9,tourism_hostel,N10201835817
2024-01-01 00:00:00,N4959651241,9,9,amenity_school,N4959651241
2024-01-01 00:00:00,W424894606,9,9,amenity_school,W424894606
2024-01-01 00:00:00,N4897352995,9,9,amenity_school,N4897352995
2024-01-01 00:00:00,R16827715,8,8,amenity_place_of_worship,R16827715
2024-01-01 00:00:00,W1295427393,8,8,amenity_school,W1295427393
2024-01-01 00:00:00,W501653304,8,8,amenity_school,W501653304
2024-01-01 00:00:00,N4961837246,8,8,amenity_school,N4961837246
2024-01-01 00:00:00,W921923762,8,8,amenity_place_of_worship,W921923762
2024-01-01 00:00:00,N4968243380,8,8,amenity_school,N4968243380
2024-01-01 00:00:00,N4232438391,8,8,amenity_school,N4232438391
2024-01-01 00:00:00,N11500914669,8,8,amenity_community_centre,N11500914669
2024-01-01 00:00:00,N4985150252,7,7,amenity_community_centre,N4985150252
2024-01-01 00:00:00,N4975725662,7,7,amenity_school,N4975725662
2024-01-01 00:00:00,W506044975,7,7,amenity_school,W506044975
2024-01-01 00:00:00,R6319524,7,7,amenity_community_centre,R6319524
2024-01-01 00:00:00,N5756706423,6,6,amenity_place_of_worship,N5756706423
2024-01-01 00:00:00,W1295427391,6,6,amenity_school,W1295427391
2024-01-01 00:00:00,N4909151311,6,17,amenity_school,N4909151311
2024-01-01 00:00:00,W425317639,6,6,amenity_school,W425317639
2024-01-01 00:00:00,N4965763165,6,6,amenity_school,N4965763165
2024-01-01 00:00:00,W240592107,6,6,amenity_place_of_worship,W240592107
2024-01-01 00:00:00,W240376675,6,6,amenity_community_centre,W240376675
2024-01-01 00:00:00,W1012114421,5,5,amenity_school,W1012114421
2024-01-01 00:00:00,N4931111296,5,5,amenity_school,N4931111296
2024-01-01 00:00:00,W1177778802,5,5,amenity_school,W1177778802
2024-01-01 00:00:00,N4900149832,5,5,amenity_school,N4900149832
2024-01-01 00:00:00,R5997012,5,5,amenity_school,R5997012
2024-01-01 00:00:00,N5880883098,5,5,amenity_school,N5880883098
2024-01-01 00:00:00,W1163895965,5,5,amenity_school,W1163895965
2024-01-01 00:00:00,W240860325,5,5,amenity_place_of_worship,W240860325
2024-01-01 00:00:00,N4280717789,4,9,amenity_school,N4280717789
2024-01-01 00:00:00,N4921675769,4,4,amenity_school,N4921675769
2024-01-01 00:00:00,N5101392526,4,4,amenity_community_centre,N5101392526
2024-01-01 00:00:00,N4921799432,4,7,amenity_school,N4921799432
2024-01-01 00:00:00,W1354826008,4,4,amenity_school,W1354826008
2024-01-01 00:00:00,W241090089,3,3,amenity_school,W241090089
2024-01-01 00:00:00,W425997748,3,24,amenity_place_of_worship,W425997748
2024-01-01 00:00:00,W240921099,3,3,amenity_school,W240921099
2024-01-01 00:00:00,W1318492972,3,3,amenity_school,W1318492972
2024-01-01 00:00:00,W1353861986,3,12,amenity_place_of_worship,W1353861986
2024-01-01 00:00:00,N9955544517,3,3,tourism_hostel,N9955544517
2024-01-01 00:00:00,N4616015290,3,11,amenity_school,N4616015290
2024-01-01 00:00:00,W398750702,3,3,amenity_school,W398750702
2024-01-01 00:00:00,N11898449374,3,14,amenity_school,N11898449374
2024-01-01 00:00:00,N2388707906,2,2,amenity_community_centre,N2388707906
2024-01-01 00:00:00,N4918192682,2,2,amenity_school,N4918192682
2024-01-01 00:00:00,N4920299762,2,27,amenity_school,N4920299762
2024-01-01 00:00:00,N4918192674,2,2,amenity_school,N4918192674
2024-01-01 00:00:00,W425276258,2,2,amenity_school,W425276258
2024-01-01 00:00:00,W240873345,2,2,amenity_community_centre,W240873345
2024-01-01 00:00:00,W1177778801,2,2,amenity_school,W1177778801
2024-01-01 00:00:00,N4908858029,2,2,amenity_school,N4908858029
2024-01-01 00:00:00,N4902165007,2,5,amenity_place_of_worship,N4902165007
2024-01-01 00:00:00,N4937181644,2,28,amenity_school,N4937181644
2024-01-01 00:00:00,W1076774302,1,1,amenity_place_of_worship,W1076774302
2024-01-01 00:00:00,N4604266224,1,13,amenity_community_centre,N4604266224
2024-01-01 00:00:00,N5130027840,1,1,amenity_community_centre,N5130027840
2024-01-01 00:00:00,N4903508195,1,4,amenity_school,N4903508195
