building_type,osmid,coord,distance,rise,fall
amenity_place_of_worship,W306368616,"(43.78653320478679, 11.26537048775763)",77.562,0,0
amenity_place_of_worship,W306368607,"(43.78517074740741, 11.26512818057761)",276.55499999999995,0,0
