building_type,osmid,coord,distance,rise,fall
amenity_school,W777153574,"(43.791618571274064, 11.265171211612186)",22.03,0,0
amenity_school,W777153570,"(43.790504328185655, 11.266575038326797)",209.08000000000004,0,0
