territory,building_type,osmid,coord,distance,rise,fall
Errekalde,amenity_school,W146669288,"(43.25526346281122, -2.933798192832977)",150.94299999999998,1.5000000001040732,7.105427357601002e-15
Errekalde,amenity_place_of_worship,W146669294,"(43.25265959697768, -2.9348678024342023)",199.433,14.000000000069384,0.0
Errekalde,tourism_hostel,N11907017769,"(43.2554201, -2.9352735)",229.20499999999998,6.000000000074337,8.500000000009912
Ibaiondo,building_train_station,W489794666,"(43.255969018795504, -2.9327365417066513)",372.18799999999993,1.5000000001040874,18.000000000094175
Errekalde,amenity_community_centre,N5702888919,"(43.2532538, -2.9385299)",391.4889999999999,17.500000000168512,27.000000000064432
Ibaiondo,amenity_school,W302250302,"(43.251633315829835, -2.933294527060253)",422.89000000000004,18.500000000024777,0.5000000000247979
Errekalde,tourism_museum,N3922519111,"(43.2557512, -2.9372361)",432.462,1.5000000001238831,16.00000000003964
Errekalde,amenity_library,N10571583809,"(43.251039, -2.9352232)",450.82500000000005,19.500000000074344,4.000000000054527
Ibaiondo,tourism_hostel,N5056090690,"(43.2556034, -2.9315688)",451.40599999999995,6.000000000188329,18.000000000094175
Abando,amenity_place_of_worship,W203275368,"(43.25756029703332, -2.9330188676365134)",455.241,4.000000000089209,22.00000000008921
Ibaiondo,amenity_library,N11229801356,"(43.2538282, -2.9319814)",456.015,16.500000000113985,9.999999999985128
Errekalde,amenity_police,N1773085424,"(43.2571384, -2.9349085)",463.192,1.500000000084242,20.500000000089194
Ibaiondo,amenity_place_of_worship,W301583287,"(43.25418140212627, -2.9324946957341824)",468.481,16.500000000113985,21.00000000003964
Errekalde,amenity_school,W331883965,"(43.25126608491348, -2.9388108819696117)",508.6740000000001,15.000000000079304,17.000000000039662
Errekalde,leisure_stadium,R2324913,"(43.25542663892338, -2.9375648102488108)",544.758,1.500000000084242,18.50000000003964
Ibaiondo,amenity_arts_centre,N4739465025,"(43.2565748, -2.9301923)",602.577,4.500000000148674,22.00000000008921
Ibaiondo,amenity_place_of_worship,W53661749,"(43.251866677604006, -2.9290643617025647)",683.4860000000001,20.500000000133824,12.000000000089223
