territory,building_type,osmid,coord,distance,rise,fall
Deusto,amenity_school,N1759584097,"(43.2722245, -2.9510542)",63.362,4.999999999915811,0.0
Deusto,amenity_library,N10308512109,"(43.2723012, -2.9505157)",150.708,4.999999999915815,1.5000000000099085
Deusto,railway_subway_entrance,N571805608,"(43.2718219, -2.9494558)",179.528,6.499999999930669,1.5000000000099085
Deusto,amenity_theatre,N10315485009,"(43.2718672, -2.9532544)",188.26699999999997,6.000000000009901,0.0
Deusto,amenity_school,W248684621,"(43.27026384014726, -2.9519081118250723)",188.68200000000002,0.0,4.500000000039623
Deusto,amenity_arts_centre,N12087072670,"(43.2699399, -2.9504322)",200.254,0.0,4.500000000039627
Deusto,railway_subway_entrance,N4952944847,"(43.2718668, -2.9487299)",247.052,9.499999999930669,1.5000000000099085
Deusto,shop_mall,N4262153026,"(43.2711079, -2.9487353)",247.498,3.5000000000297113,3.552713678800501e-15
Deusto,shop_mall,W174293196,"(43.27145723476136, -2.9487516219122725)",247.498,3.5000000000297113,3.552713678800501e-15
Deusto,railway_subway_entrance,N652111388,"(43.2705875, -2.9494092)",269.186,2.000000000009905,3.499999999975241
Deusto,amenity_place_of_worship,W185205678,"(43.270495984069676, -2.9536808799959586)",308.4,0.0,5.0000000000099085
Deusto,amenity_police,W185205676,"(43.2730320456833, -2.9532225738516544)",361.85699999999997,16.00000000003962,3.467093279141409e-11
Deusto,tourism_hostel,N11975964770,"(43.2722749, -2.9467999)",368.029,8.499999999930672,1.5000000000099085
Deusto,amenity_library,N10575964741,"(43.2724615, -2.9507625)",419.635,26.000000000009905,3.466382736405649e-11
Deusto,amenity_arts_centre,N4254035917,"(43.2686591, -2.9494622)",440.22599999999994,2.000000000009905,13.500000000009909
Deusto,amenity_school,W185205752,"(43.2684144593636, -2.9486194979724067)",482.129,2.0000000000099067,14.99999999997524
Deusto,amenity_school,W185205751,"(43.26985222807176, -2.955056771945497)",485.534,0.0,13.000000000019815
Deusto,amenity_place_of_worship,W112164512,"(43.272432347664996, -2.945613879322651)",528.308,8.499999999930672,6.500000000029722
Deusto,tourism_hostel,N3004608569,"(43.2687748, -2.9545458)",563.206,0.0,16.499999999985146
Deusto,amenity_community_centre,N12035542894,"(43.2692724, -2.9469505)",568.611,3.500000000044576,17.500000000034674
Deusto,amenity_place_of_worship,N707156296,"(43.274857, -2.9480119)",841.7849999999999,79.99999999994054,6.999999999900954
Deusto,amenity_school,W185282136,"(43.27572418887909, -2.948857870940447)",864.1879999999998,77.99999999997523,3.466382736405649e-11
