territory,building_type,osmid,coord,distance,rise,fall
Otxarkoaga-Txurdinaga,N/A,N4060532217,"(43.2581194, -2.8980592)",410.07099999999997,4.000000000004988,33.50000000001985
Otxarkoaga-Txurdinaga,N/A,W164510985,"(43.257638496193636, -2.898318280368446)",427.87300000000005,6.999999999871193,36.49999999988606
Otxarkoaga-Txurdinaga,N/A,W164512079,"(43.25788389565486, -2.8988002094288414)",532.605,6.999999999871193,41.499999999965354
Otxarkoaga-Txurdinaga,N/A,N4060532220,"(43.2594633, -2.9000251)",549.9789999999999,9.999999999985135,22.499999999915772
