territory,building_type,osmid,coord,distance,rise,fall
Abando,shop_mall,W171882527,"(43.26787786483111, -2.940565564584242)",218.027,1.0000000000396274,6.500000000000001
Abando,tourism_museum,W28211432,"(43.26554608054959, -2.93803822151696)",236.28000000000003,10.500000000074307,2.000000000059446
Abando,amenity_place_of_worship,W264910278,"(43.26656612551373, -2.936236643711601)",252.674,4.000000000019816,5.000000000029721
Abando,building_public,W174088302,"(43.268486680006, -2.937820626938481)",385.89799999999997,4.500000000034676,8.500000000009909
Abando,amenity_place_of_worship,W518582008,"(43.264866593301456, -2.936019668916314)",410.012,19.000000000054495,0.0
Abando,amenity_library,W174783437,"(43.26829664839782, -2.936934375366023)",412.59099999999995,4.000000000019817,9.500000000034673
Abando,amenity_theatre,W174088299,"(43.2669918179244, -2.9442825851041095)",437.444,15.000000000113932,4.5000000000445795
Deusto,amenity_school,W185206614,"(43.270374325567914, -2.9405683012120356)",449.099,2.999999999960384,6.000000000004956
Abando,amenity_place_of_worship,N2809991335,"(43.2655074, -2.933757)",504.34999999999997,22.000000000059448,2.500000000079263
Abando,tourism_museum,N1271964866,"(43.2645212, -2.9345677)",527.817,20.000000000034674,0.0
Abando,amenity_library,N4761972760,"(43.2642641, -2.9429738)",534.4860000000001,14.999999999995051,7.105427357601002e-15
Abando,tourism_museum,W118499485,"(43.26862252728244, -2.9337727987966793)",558.419,14.500000000019817,14.00000000000991
Abando,amenity_place_of_worship,N3954126240,"(43.2627521, -2.9372656)",597.939,19.000000000054495,4.4586556668946287e-11
Deusto,amenity_theatre,N10313700309,"(43.2696477, -2.9426557)",629.789,12.50000000002477,6.000000000004956
Abando,amenity_police,N4105324002,"(43.2641634, -2.9434159)",658.9860000000001,19.000000000024777,7.105427357601002e-15
Deusto,amenity_place_of_worship,N10585141905,"(43.2704473, -2.9376418)",668.331,16.500000000059437,10.000000000049532
