territory,building_type,osmid,coord,distance,rise,fall
Abando,railway_subway_entrance,N571807591,"(43.2627294, -2.9461016)",77.427,1.4210854715202004e-14,6.000000000000014
Basurtu-Zorrotza,railway_subway_entrance,N571807589,"(43.2625437, -2.9481923)",198.65900000000002,7.105427357601002e-15,4.000000000024784
Abando,amenity_school,W185201414,"(43.26374906018535, -2.9450893559191655)",231.86700000000002,0.5000000000000107,10.000000000014875
Abando,railway_subway_entrance,N571809293,"(43.2612436, -2.9423379)",309.581,2.499999999985132,3.9999999999900915
Basurtu-Zorrotza,leisure_stadium,W59171758,"(43.264171286696644, -2.9493828668461135)",331.952,4.000000000024777,4.000000000024784
Basurtu-Zorrotza,railway_subway_entrance,N4458552191,"(43.2626804, -2.9495871)",333.68100000000004,4.000000000024784,4.000000000024791
Basurtu-Zorrotza,building_train_station,W163195554,"(43.26264074937047, -2.949647750879721)",335.44100000000003,4.000000000024784,4.000000000024791
Basurtu-Zorrotza,building_train_station,W163128700,"(43.261459197014496, -2.948830847035061)",342.193,2.0000000000446043,5.000000000039655
Basurtu-Zorrotza,railway_subway_entrance,N6139261848,"(43.2614654, -2.9489264)",346.54499999999996,2.0000000000446043,5.000000000039655
Abando,amenity_school,W174482524,"(43.26103224056917, -2.943555683435342)",347.682,0.0,6.500000000039641
Abando,amenity_place_of_worship,N2326472794,"(43.2627187, -2.9432415)",359.361,0.0,8.000000000024777
Abando,amenity_police,N4105324002,"(43.2641634, -2.9434159)",368.211,0.0,8.000000000000004
Basurtu-Zorrotza,tourism_museum,N5308301923,"(43.2640855, -2.9481789)",391.46500000000003,6.000000000118899,9.500000000034692
Basurtu-Zorrotza,leisure_stadium,N11865822545,"(43.2641013, -2.9482607)",391.46500000000003,6.000000000118899,9.500000000034692
Abando,railway_subway_entrance,N510562751,"(43.2606628, -2.94272)",442.521,2.4999999999504574,5.9999999999851426
Basurtu-Zorrotza,building_public,N1848293667,"(43.2622397, -2.9510612)",452.95,7.000000000039648,5.000000000034696
Basurtu-Zorrotza,amenity_place_of_worship,W521860095,"(43.25903349804755, -2.9482902674061107)",486.89,7.999999999980183,5.4999999999851354
Abando,amenity_library,N4761972760,"(43.2642641, -2.9429738)",492.711,0.0,12.000000000029729
Abando,building_train_station,W41584747,"(43.25823481651728, -2.946006178624259)",497.749,8.0,3.0000000000495533
Abando,amenity_theatre,N11882322969,"(43.2662156, -2.9463144)",507.58799999999997,1.5000000000990914,30.50000000012387
Abando,tourism_museum,N518227646,"(43.2661789, -2.9463066)",507.58799999999997,1.5000000000990914,30.50000000012387
Abando,amenity_school,W174482534,"(43.260286715295, -2.9415964249186772)",515.705,2.499999999985139,4.500000000024777
Abando,amenity_theatre,N10315426810,"(43.2601868, -2.9408164)",559.648,3.00000000002478,4.50000000002478
Abando,amenity_place_of_worship,W41586292,"(43.2600826018563, -2.9410293255920963)",599.8770000000001,4.0000000000000036,4.000000000019828
Abando,railway_subway_entrance,N5044373236,"(43.2599287, -2.9408038)",599.8770000000001,4.0000000000000036,4.000000000019828
Abando,tourism_hostel,N5056378492,"(43.2581798, -2.9439545)",689.61,10.500000000039634,4.500000000064411
