territory,building_type,osmid,coord,distance,rise,fall
Ibaiondo,amenity_school,W40286949,"(43.256180874898334, -2.917204164189735)",152.053,1.4210854715202004e-14,14.500000000094161
Ibaiondo,amenity_school,W40321136,"(43.25574751809479, -2.9180492404331626)",225.194,0.0,6.00000000000496
Ibaiondo,amenity_community_centre,N4520491591,"(43.2535977, -2.917769)",263.735,11.500000000094175,20.00000000014373
Begona,railway_subway_entrance,N482482840,"(43.2540666, -2.9147211)",270.9389999999999,17.499999999985164,2.842170943040401e-14
Ibaiondo,amenity_school,W40287021,"(43.25688259609332, -2.9177915810643356)",282.83,0.0,21.500000000064418
Begona,building_public,N3771202490,"(43.2539898, -2.9149148)",289.70499999999987,17.499999999985164,2.842170943040401e-14
Ibaiondo,amenity_place_of_worship,W40401015,"(43.25559089371499, -2.9197770426490504)",329.001,1.4210854715202004e-14,9.999999999990095
Begona,amenity_place_of_worship,W40111841,"(43.25348558282735, -2.913954059983779)",380.50199999999995,22.000000000009948,2.842170943040401e-14
Begona,railway_subway_entrance,N482482839,"(43.2554699, -2.9131365)",382.3829999999999,18.49999999996534,4.500000000019853
Ibaiondo,amenity_place_of_worship,N603714638,"(43.2567944, -2.9151798)",383.026,15.000000000049567,19.50000000009912
Begona,railway_subway_entrance,N482482838,"(43.2538346, -2.9134248)",396.2289999999999,22.000000000009948,2.842170943040401e-14
Begona,amenity_school,W40944261,"(43.25457663584313, -2.9143413659869406)",421.195,17.499999999985164,3.9999999999653397
Ibaiondo,amenity_school,W201679887,"(43.25314905033093, -2.917902836711677)",422.71200000000005,22.00000000013381,33.50000000015859
Ibaiondo,shop_mall,N4634339807,"(43.2568155, -2.9202922)",445.28400000000005,0.0,26.50000000002973
Ibaiondo,building_public,N4634471356,"(43.2570289, -2.9204812)",460.61800000000005,0.0,26.50000000002973
Ibaiondo,building_public,N4634471357,"(43.2570064, -2.9205174)",460.61800000000005,0.0,26.50000000002973
Begona,amenity_place_of_worship,N1892943135,"(43.2558594, -2.9132959)",477.36199999999997,18.499999999965354,9.500000000024812
Ibaiondo,amenity_school,N4634471354,"(43.2571227, -2.9204423)",481.398,0.0,26.50000000002973
Ibaiondo,amenity_school,N4634394695,"(43.2571197, -2.920449)",481.398,0.0,26.50000000002973
Ibaiondo,amenity_school,W176257645,"(43.256800249672935, -2.921374403543259)",503.485,0.0,31.99999999998513
Ibaiondo,amenity_place_of_worship,W165888796,"(43.253559247122105, -2.920482768908343)",505.46700000000004,1.5000000000644498,43.00000000015861
Ibaiondo,tourism_museum,N498483153,"(43.2581854, -2.9204165)",514.749,0.0,32.500000000128836
Ibaiondo,amenity_school,N4708209443,"(43.2579938, -2.9196631)",514.749,0.0,32.500000000128836
Ibaiondo,amenity_school,W41577094,"(43.25438112441693, -2.9219242749036556)",525.3850000000001,1.5000000000644391,37.50000000005949
Begona,amenity_school,W40347964,"(43.25155120263126, -2.917310261009466)",541.4150000000001,33.50000000021807,35.500000000218066
Ibaiondo,amenity_school,W40354072,"(43.257313534983936, -2.920838814693779)",554.239,0.0,32.500000000128836
Ibaiondo,building_train_station,W25320637,"(43.25400683264739, -2.9214724811831636)",560.4230000000001,1.5000000000644427,49.00000000005453
Ibaiondo,amenity_school,W421657146,"(43.254832364210294, -2.921474753973205)",582.7100000000002,1.5000000000644391,47.50000000006444
Ibaiondo,tourism_museum,R2727759,"(43.253335664807004, -2.9207208313355193)",591.4770000000001,1.5000000000644498,43.00000000015861
Ibaiondo,amenity_arts_centre,W41082562,"(43.25706233206719, -2.9216354410086542)",595.057,0.0,38.0
Ibaiondo,tourism_hostel,W173091204,"(43.25844537253583, -2.9185868614666655)",614.3220000000001,11.000000000143721,33.50000000023787
Ibaiondo,amenity_arts_centre,N2759508762,"(43.2547042, -2.9223506)",626.5520000000001,1.500000000064441,47.50000000006444
Ibaiondo,amenity_place_of_worship,N6612828074,"(43.2594381, -2.9188197)",643.132,22.000000000178396,22.500000000148667
Ibaiondo,amenity_place_of_worship,W41525574,"(43.25771234249542, -2.9221397271902028)",648.4979999999999,0.0,40.000000000019824
Ibaiondo,tourism_hostel,N4847061832,"(43.2593563, -2.9190096)",661.338,22.000000000178396,22.500000000148667
Ibaiondo,amenity_community_centre,N4708423670,"(43.2562643, -2.9223392)",695.461,3.000000000009919,42.49999999997027
Begona,amenity_place_of_worship,W28463782,"(43.258742002354, -2.9137569131998373)",705.041,54.50000000012888,29.000000000094204
