territory,building_type,osmid,coord,distance,rise,fall
Basurtu-Zorrotza,amenity_place_of_worship,W301694701,"(43.25652086676977, -2.957615550547145)",71.42,2.842170943040401e-14,0.0
Basurtu-Zorrotza,amenity_community_centre,W301694691,"(43.25639843254374, -2.9578756320078523)",117.401,20.50000000007931,0.0
Basurtu-Zorrotza,amenity_police,W61650845,"(43.25483560908443, -2.9622720539357044)",1218.57,137.50000000025275,56.50000000026266
Basurtu-Zorrotza,amenity_police,W404633890,"(43.254956017399024, -2.962172628386112)",1218.57,137.50000000025275,56.50000000026266
