territory,building_type,osmid,coord,distance,rise,fall
Deusto,amenity_theatre,N3696895644,"(43.2673338, -2.9604465)",25.632,0.0,4.953149002062673e-12
Deusto,amenity_community_centre,N6777788085,"(43.2672525, -2.9597383)",113.114,0.0,4.953149002062673e-12
Deusto,amenity_place_of_worship,N9652033547,"(43.2685894, -2.9604807)",238.54799999999997,0.5000000000099061,0.5000000000099063
Deusto,amenity_place_of_worship,W176664325,"(43.268567154157736, -2.9604612424344765)",238.54799999999997,0.5000000000099061,0.5000000000099063
Deusto,amenity_community_centre,W254514789,"(43.26956430038033, -2.96173829084464)",404.921,2.0000000000198117,2.5000000000247646
Deusto,amenity_arts_centre,W176679093,"(43.26780294167776, -2.960577805719317)",413.848,0.5000000000198124,0.5000000000198124
Deusto,tourism_hostel,N3004608569,"(43.2687748, -2.9545458)",875.7839999999999,12.000000000138693,8.000000000133742
Basurtu-Zorrotza,amenity_place_of_worship,W163196945,"(43.265461037844666, -2.9606482549113027)",2802.2070000000003,56.50000000027245,30.000000000247674
Basurtu-Zorrotza,tourism_hostel,W52528082,"(43.26320722722957, -2.9613203976201534)",3411.8429999999985,109.5000000002576,32.00000000022291
