territory,building_type,osmid,coord,distance,rise,fall
Begona,N/A,N5056328910,"(43.2541211, -2.9149326)",402.402,26.000000000034703,11.000000000109054
Ibaiondo,N/A,W420558992,"(43.256988569906525, -2.92040166742721)",465.265,11.000000000109047,40.00000000019826
Ibaiondo,N/A,W41525574,"(43.25771234249542, -2.9221397271902023)",653.1449999999999,11.000000000109047,53.50000000018835
Ibaiondo,N/A,W375390416,"(43.25296603590128, -2.923187807157419)",824.6580000000002,31.500000000228003,72.00000000029738
