territory,building_type,osmid,coord,distance,rise,fall
Ibaiondo,amenity_school,W53668485,"(43.248961862530635, -2.930066135495643)",232.60800000000003,1.000000000024798,1.5000000000644462
Ibaiondo,amenity_place_of_worship,W53661749,"(43.251866677604006, -2.9290643617025647)",275.36600000000004,0.0,12.500000000024784
Ibaiondo,amenity_police,W165645785,"(43.24968056605251, -2.9245496912078623)",302.648,5.500000000004974,6.499999999995055
Ibaiondo,building_train_station,W53663165,"(43.25037057733663, -2.9304763387603403)",340.82899999999995,1.000000000024798,5.500000000034717
Ibaiondo,railway_subway_entrance,N4904749312,"(43.2502989, -2.9305713)",347.836,1.000000000024798,5.500000000034717
Ibaiondo,amenity_school,W53764581,"(43.24903243466212, -2.9317237114605668)",390.7300000000001,3.0000000000297433,1.5000000000644462
Ibaiondo,amenity_theatre,W314579101,"(43.25253967996139, -2.928209723690653)",583.6510000000001,1.0000000000000142,32.50000000007932
Ibaiondo,amenity_school,N4757644627,"(43.2481224, -2.9325122)",639.97,16.50000000000992,1.5000000000644604
Ibaiondo,amenity_school,W302250302,"(43.251633315829835, -2.933294527060253)",723.7340000000002,22.500000000114042,25.500000000183448
Ibaiondo,amenity_school,W165645783,"(43.25405003153166, -2.927189817999719)",814.0219999999999,5.500000000049575,46.00000000008427
