territory,building_type,osmid,coord,distance,rise,fall
Uribarri,building_public,W248634544,"(43.26459250062578, -2.923174575498278)",126.143,0.0,12.000000000049539
Uribarri,amenity_school,W123440601,"(43.26650910693881, -2.92105747075796)",151.853,13.500000000044587,7.105427357601002e-15
Uribarri,railway_subway_entrance,N5302324517,"(43.2668121, -2.9208691)",193.919,16.499999999975245,7.105427357601002e-15
Uribarri,amenity_school,W248855598,"(43.26587076133516, -2.923202179569874)",200.574,5.499999999995055,5.999999999990102
Uribarri,railway_subway_entrance,N4508853267,"(43.2655628, -2.9205809)",209.705,3.9999999999256914,0.0
Uribarri,railway_subway_entrance,N4060532221,"(43.2670957, -2.9213161)",230.856,16.49999999997523,0.0
Uribarri,amenity_townhall,W28210378,"(43.26421680000001, -2.92346335)",242.85999999999999,0.0,23.500000000029722
Uribarri,amenity_police,N3999132003,"(43.2643109, -2.9237538)",280.84299999999996,0.0,23.500000000029722
Uribarri,railway_subway_entrance,N4060532213,"(43.2677621, -2.9195766)",358.632,37.49999999994057,1.4210854715202004e-14
Uribarri,amenity_school,W183189348,"(43.2669778943415, -2.9257094413631584)",375.25900000000007,5.499999999995055,19.000000000014865
Abando,building_public,W110726736,"(43.26320720006081, -2.924903170437371)",387.35100000000006,1.000000000004956,23.500000000029722
Uribarri,railway_subway_entrance,N4060532223,"(43.2681579, -2.9203559)",392.978,32.000000000014865,0.0
Uribarri,railway_subway_entrance,N4060532222,"(43.2665934, -2.9180824)",436.099,34.49999999998018,7.105427357601002e-15
Uribarri,railway_subway_entrance,N4523538788,"(43.2689464, -2.925084)",493.083,23.500000000004956,26.500000000059437
Uribarri,building_train_station,W418596671,"(43.268996949414166, -2.9252006282899092)",512.148,23.500000000004956,26.500000000059437
Abando,amenity_school,N4714910719,"(43.2618414, -2.9260208)",516.023,20.000000000069367,23.500000000029722
Abando,amenity_courthouse,W549586718,"(43.262611224112085, -2.926097452688078)",516.045,12.000000000004956,23.500000000029722
Abando,amenity_courthouse,W549586717,"(43.26258275974434, -2.925683623362535)",516.045,12.000000000004956,23.500000000029722
Uribarri,amenity_arts_centre,N5763866180,"(43.2671383, -2.9268465)",522.6610000000001,5.999999999950475,20.999999999945523
Abando,amenity_courthouse,W107531575,"(43.26264894309937, -2.9270321904766043)",551.4309999999999,12.499999999925691,23.500000000029722
Uribarri,railway_subway_entrance,N5316602475,"(43.268795, -2.9260197)",567.2470000000001,17.000000000004952,26.00000000005448
Uribarri,building_train_station,W123440604,"(43.26872494896904, -2.9260301349397224)",583.974,10.999999999930665,19.999999999980194
Uribarri,railway_subway_entrance,N5316602476,"(43.2686847, -2.9260049)",583.974,10.999999999930665,19.999999999980194
Abando,building_public,W53365295,"(43.26412898104329, -2.9270097293759227)",680.2439999999999,11.00000000008422,32.000000000143665
Abando,amenity_place_of_worship,W28757167,"(43.26355123404385, -2.9278258860861373)",736.7099999999999,21.000000000133756,24.000000000034674
Abando,amenity_theatre,W28757165,"(43.263743588950746, -2.927805187864499)",736.7099999999999,21.000000000133756,24.000000000034674
Ibaiondo,amenity_school,W289798436,"(43.26118152813459, -2.9220859899968175)",976.2350000000001,37.49999999996532,46.999999999915765
