territory,building_type,osmid,coord,distance,rise,fall
Abando,N/A,W41688628,"(43.26399354682828, -2.9308926528671213)",184.61,1.4999999999950475,0.5000000000148574
Abando,N/A,W44016098,"(43.261229928011566, -2.929048100639934)",397.158,6.500000000059465,2.5000000000842277
Abando,N/A,N3207631929,"(43.2618877, -2.9308223)",397.341,4.500000000029729,3.000000000079261
Abando,N/A,W28776478,"(43.259963913422865, -2.9284384320288925)",468.57,6.500000000059465,7.000000000113957
Abando,N/A,W110895854,"(43.26092919682561, -2.9269453237882157)",485.13100000000003,5.5000000001090115,8.500000000208093
Abando,N/A,N1271964866,"(43.2645212, -2.9345677)",489.90700000000004,3.500000000034678,6.500000000074309
Abando,N/A,W108504682,"(43.26150873360247, -2.9323193974511943)",512.749,4.500000000029729,4.000000000059444
Abando,N/A,N4731925117,"(43.2661842, -2.9329433)",549.3880000000001,6.000000000064407,7.000000000079272
Abando,N/A,W44113519,"(43.25993749738077, -2.9264652360563534)",593.024,5.500000000109008,14.500000000178364
Uribarri,N/A,W248634544,"(43.26459250062579, -2.9231745754982787)",688.819,11.999999999985143,21.50000000008422
Uribarri,N/A,N9607363904,"(43.2682033, -2.9265437)",689.8779999999999,13.999999999965333,25.50000000004459
