territory,building_type,osmid,coord,distance,rise,fall
Abando,building_public,W522814019,"(43.26075682066079, -2.926627536661347)",77.649,9.999999999970274,0.0
Abando,building_public,W522814018,"(43.26086508680587, -2.9267864616047485)",125.958,13.499999999970271,0.0
Abando,building_public,W110895854,"(43.2609291968256, -2.9269453237882166)",125.958,13.499999999970271,0.0
Abando,railway_subway_entrance,N5299959448,"(43.2606099, -2.9270819)",159.845,12.000000000014861,0.0
Abando,tourism_hostel,N9423152961,"(43.2616305, -2.9271323)",160.523,13.499999999970274,0.0
Abando,railway_subway_entrance,N5299959447,"(43.2605927, -2.9271124)",162.925,12.000000000014861,0.0
Abando,building_train_station,W44113519,"(43.259937497380776, -2.926465236056355)",183.00300000000001,12.000000000014861,4.5000000000148646
Abando,railway_subway_entrance,N5299959446,"(43.2609173, -2.9275115)",189.589,14.999999999995048,3.552713678800501e-15
Abando,shop_mall,W44111840,"(43.260718571133225, -2.9273748430805266)",190.228,12.000000000014865,0.0
Abando,railway_subway_entrance,N5299959445,"(43.2608615, -2.9276065)",199.35,14.999999999995051,3.552713678800501e-15
Abando,railway_subway_entrance,N4879362987,"(43.2608021, -2.9274814)",216.772,13.499999999970274,1.49999999995541
Abando,amenity_school,N4714910719,"(43.2618414, -2.9260208)",227.18,15.500000000059455,0.0
Ibaiondo,amenity_theatre,W28320546,"(43.25944120388599, -2.924987937905504)",246.37400000000002,0.4999999999752269,5.4999999999900915
Ibaiondo,amenity_place_of_worship,W41789694,"(43.26017858770202, -2.922571763912898)",281.038,4.000000000009912,5.000000000014868
Abando,building_train_station,W28776478,"(43.25996391342287, -2.9284384320288925)",288.642,16.000000000044597,2.973621349156019e-11
Abando,building_public,W110726736,"(43.26320720006081, -2.924903170437371)",314.81999999999994,2.5000000000396394,6.000000000044594
Abando,railway_subway_entrance,N560562265,"(43.261338, -2.9277874)",314.9289999999999,17.999999999975223,2.999999999980176
Ibaiondo,amenity_community_centre,W462350867,"(43.259603099365414, -2.921958448215474)",327.15,11.500000000054506,5.000000000014868
Ibaiondo,railway_subway_entrance,N4456565174,"(43.2599587, -2.9221643)",332.15900000000005,11.500000000054506,5.000000000014868
Ibaiondo,building_public,W108497734,"(43.25874273518263, -2.9247747311690633)",334.351,8.00000000001982,5.4999999999900915
Abando,railway_subway_entrance,N412183223,"(43.2620126, -2.9280532)",338.86000000000007,18.000000000079275,3.552713678800501e-15
Abando,amenity_courthouse,W549586718,"(43.262611224112085, -2.926097452688078)",345.148,15.500000000059455,8.000000000064407
Abando,amenity_courthouse,W549586717,"(43.26258275974434, -2.925683623362535)",345.148,15.500000000059455,8.000000000064407
Ibaiondo,building_train_station,W485363913,"(43.25997684824979, -2.9220146785419328)",355.802,11.500000000054506,5.000000000014868
Abando,amenity_place_of_worship,W110726474,"(43.26090877383502, -2.92978567668919)",376.801,20.500000000074333,2.9743318918917794e-11
Abando,amenity_courthouse,W107531575,"(43.26264894309937, -2.9270321904766043)",380.534,15.99999999998019,8.000000000064407
Ibaiondo,amenity_theatre,N10646824505,"(43.2587198, -2.9249554)",391.789,10.500000000039641,5.4999999999900915
Ibaiondo,amenity_community_centre,N4844234121,"(43.2587801, -2.9228383)",396.906,9.500000000049553,5.000000000014868
Ibaiondo,amenity_school,W248857735,"(43.258446968221755, -2.9264004622419817)",407.121,3.4999999999801794,6.500000000019821
Ibaiondo,amenity_library,N12036600761,"(43.2604528, -2.9221755)",421.43600000000004,14.500000000084235,5.000000000014875
Abando,railway_subway_entrance,N1492351351,"(43.2614269, -2.9281878)",425.92500000000007,18.00000000007928,3.000000000084235
Uribarri,amenity_townhall,W28210378,"(43.26421680000001, -2.92346335)",446.066,2.500000000039641,7.000000000049548
Ibaiondo,amenity_theatre,N4739625417,"(43.2570118, -2.9282729)",471.83000000000004,10.000000000084242,0.500000000089198
Ibaiondo,amenity_theatre,W51983636,"(43.257134045213036, -2.9276101063578492)",471.83000000000004,10.000000000084242,0.500000000089198
Ibaiondo,railway_subway_entrance,N482329037,"(43.2586228, -2.921633)",472.52000000000004,11.000000000044594,5.000000000014868
Uribarri,amenity_police,N3999132003,"(43.2643109, -2.9237538)",488.453,2.500000000039641,7.00000000004955
Ibaiondo,tourism_hostel,N3837244786,"(43.2578183, -2.9253554)",494.046,12.00000000000496,6.999999999955406
Ibaiondo,amenity_library,N7000718987,"(43.2577057, -2.9253459)",494.046,12.00000000000496,6.999999999955406
Ibaiondo,amenity_place_of_worship,R7560683,"(43.25719378146312, -2.923726218031054)",510.28600000000006,13.000000000009905,8.50000000001982
Ibaiondo,amenity_place_of_worship,W41525574,"(43.25771234249542, -2.9221397271902028)",534.0740000000001,12.000000000039641,5.500000000034689
Ibaiondo,tourism_museum,W173853329,"(43.25875132992285, -2.9212255606721382)",534.418,19.000000000074326,5.000000000014868
Uribarri,building_public,W248634544,"(43.26459250062578, -2.923174575498278)",535.6329999999999,14.000000000019822,7.000000000049548
Abando,amenity_arts_centre,N3207631929,"(43.2618877, -2.9308223)",550.543,18.000000000019824,3.552713678800501e-15
Abando,amenity_place_of_worship,W28757167,"(43.26355123404385, -2.9278258860861373)",555.0290000000001,22.00000000023285,6.000000000113953
Abando,amenity_theatre,W28757165,"(43.263743588950746, -2.927805187864499)",555.0290000000001,22.00000000023285,6.000000000113953
Abando,building_public,W53365295,"(43.26412898104329, -2.9270097293759227)",573.629,15.99999999998019,18.00000000001982
Abando,amenity_theatre,W203301018,"(43.25961489485082, -2.931457238939802)",621.2049999999999,17.00000000002478,2.500000000029736
Ibaiondo,railway_subway_entrance,N559203040,"(43.2602464, -2.9198909)",747.8050000000001,44.50000000001983,5.000000000014875
Ibaiondo,amenity_school,W289798436,"(43.26118152813459, -2.9220859899968175)",862.7189999999998,34.99999999997524,25.49999999990587
Ibaiondo,amenity_library,N10303509734,"(43.2563269, -2.9265843)",906.473,23.50000000008425,12.500000000084256
Ibaiondo,amenity_police,N6462703895,"(43.256351, -2.9267781)",906.473,23.50000000008425,12.500000000084256
