territory,building_type,osmid,coord,distance,rise,fall
Basurtu-Zorrotza,tourism_museum,N5308301923,"(43.2640855, -2.9481789)",133.654,22.500000000158515,0.0
Basurtu-Zorrotza,leisure_stadium,N11865822545,"(43.2641013, -2.9482607)",133.654,22.500000000158515,0.0
Basurtu-Zorrotza,leisure_stadium,W59171758,"(43.264171286696644, -2.9493828668461135)",372.824,26.0000000000743,0.0
Basurtu-Zorrotza,railway_subway_entrance,N571807589,"(43.2625437, -2.9481923)",451.164,25.50000000016842,3.500000000118888
Basurtu-Zorrotza,railway_subway_entrance,N4458552191,"(43.2626804, -2.9495871)",461.28700000000003,26.0000000000743,0.0
Abando,railway_subway_entrance,N571807591,"(43.2627294, -2.9461016)",461.52,26.5000000001932,6.500000000118892
Basurtu-Zorrotza,building_train_station,W163195554,"(43.26264074937047, -2.949647750879721)",463.047,26.0000000000743,0.0
Abando,amenity_school,W185201414,"(43.26374906018535, -2.9450893559191655)",499.285,26.500000000193193,10.000000000133749
Basurtu-Zorrotza,building_public,N1848293667,"(43.2622397, -2.9510612)",567.6229999999999,29.000000000089166,1.000000000009905
Abando,tourism_museum,N518227646,"(43.2661789, -2.9463066)",584.395,24.000000000257593,27.00000000020806
Abando,amenity_theatre,N11882322969,"(43.2662156, -2.9463144)",584.395,24.000000000257593,27.00000000020806
Basurtu-Zorrotza,building_train_station,W163128700,"(43.261459197014496, -2.948830847035061)",594.698,27.500000000213017,4.50000000013376
Basurtu-Zorrotza,railway_subway_entrance,N6139261848,"(43.2614654, -2.9489264)",599.05,27.500000000213017,4.50000000013376
Abando,amenity_theatre,W174088299,"(43.2669918179244, -2.9442825851041095)",651.0329999999999,30.500000000262553,21.000000000143665
Abando,amenity_police,N4105324002,"(43.2641634, -2.9434159)",669.0640000000001,28.000000000208054,10.000000000133749
Abando,amenity_library,N4761972760,"(43.2642641, -2.9429738)",707.4720000000001,29.00000000023778,15.0000000001932
Deusto,amenity_community_centre,N12035542894,"(43.2692724, -2.9469505)",1036.1930000000004,34.50000000029227,34.50000000022292
Deusto,amenity_school,W185205752,"(43.2684144593636, -2.9486194979724067)",1124.392,35.50000000031703,34.50000000022292
Deusto,amenity_arts_centre,N4254035917,"(43.2686591, -2.9494622)",1153.8909999999998,34.000000000287315,31.50000000022787
