territory,building_type,osmid,coord,distance,rise,fall
Otxarkoaga-Txurdinaga,amenity_school,W302866212,"(43.26113539778884, -2.9098367963201803)",139.188,0.0,20.000000000059458
Uribarri,amenity_school,W185282106,"(43.26352870570346, -2.908070959437656)",281.243,26.50000000002973,0.0
Uribarri,amenity_place_of_worship,N620032721,"(43.2631793, -2.9120957)",332.126,9.000000000064404,36.000000000044594
Otxarkoaga-Txurdinaga,amenity_school,W386846757,"(43.259803308053115, -2.90955434034172)",394.069,2.842170943040401e-14,44.499999999990095
Otxarkoaga-Txurdinaga,railway_subway_entrance,N4060532215,"(43.2595093, -2.9078566)",416.1149999999999,0.0,50.49999999999008
Otxarkoaga-Txurdinaga,amenity_school,W185282104,"(43.260141390243255, -2.9072056253542877)",424.37199999999996,5.999999999995055,44.49999999999008
Uribarri,tourism_hostel,N5552087740,"(43.2595488, -2.9125486)",507.8889999999999,0.0,53.0
Otxarkoaga-Txurdinaga,amenity_community_centre,W386847400,"(43.26560640049439, -2.906940411091095)",514.1680000000001,67.50000000008424,3.500000000099078
Uribarri,railway_subway_entrance,N4060532214,"(43.2641221, -2.9131204)",586.0539999999999,9.000000000064418,57.000000000024784
Otxarkoaga-Txurdinaga,amenity_school,W201506083,"(43.261342946121154, -2.905647601969728)",586.562,1.0000000001139853,35.50000000008919
Otxarkoaga-Txurdinaga,tourism_hostel,N12051758935,"(43.2600409, -2.9052972)",614.9979999999999,9.000000000039648,51.50000000002973
Otxarkoaga-Txurdinaga,railway_subway_entrance,N4060532212,"(43.2586207, -2.9062238)",620.3719999999998,9.000000000084228,62.00000000003466
Otxarkoaga-Txurdinaga,amenity_police,W620854409,"(43.25937163926618, -2.904349466137311)",636.5609999999999,9.500000000049567,51.50000000002973
Uribarri,amenity_place_of_worship,N610953374,"(43.2654928, -2.9109833)",655.0519999999998,41.000000000138755,75.50000000023286
Uribarri,railway_subway_entrance,N4060532226,"(43.2648881, -2.9134062)",686.9249999999997,27.0000000001437,99.50000000023286
Otxarkoaga-Txurdinaga,railway_subway_entrance,N4060532216,"(43.2579448, -2.9067392)",693.132,7.000000000014879,69.4999999999901
Uribarri,railway_subway_entrance,N4952944853,"(43.2648405, -2.9135495)",707.3139999999997,27.0000000001437,99.50000000023286
Otxarkoaga-Txurdinaga,amenity_school,W201506082,"(43.262555357753975, -2.9054812365975407)",820.6799999999998,37.99999999996038,54.49999999985138
