territory,building_type,osmid,coord,distance,rise,fall
Basurtu-Zorrotza,amenity_school,W251096855,"(43.27190400890658, -2.968858584144567)",225.07099999999997,13.000000000014865,0.0
Basurtu-Zorrotza,amenity_school,W138646173,"(43.273658206322374, -2.9724287872498514)",547.007,1.9999999999653397,35.99999999994553
Basurtu-Zorrotza,amenity_school,W251096861,"(43.27528361750021, -2.9705968204589417)",676.5010000000001,15.50000000001982,47.500000000029715
Basurtu-Zorrotza,amenity_community_centre,N6983084986,"(43.2739283, -2.9746927)",859.6750000000001,5.49999999996535,53.9999999999604
