territory,building_type,osmid,coord,distance,rise,fall
Abando,N/A,W41688628,"(43.26399354682828, -2.9308926528671213)",433.59,14.500000000054502,7.105427357601002e-15
Abando,N/A,N4731925117,"(43.2661842, -2.9329433)",553.5169999999999,13.00000000003963,0.49999999998019007
Abando,N/A,W110895854,"(43.26092919682561, -2.9269453237882157)",585.0129999999999,12.999999999985146,2.5000000000099227
Abando,N/A,W44016098,"(43.261229928011566, -2.929048100639934)",600.36,20.000000000133774,2.5000000000842313
Abando,N/A,N3207631929,"(43.2618877, -2.9308223)",623.5089999999999,17.500000000108997,2.500000000084224
Uribarri,N/A,W248634544,"(43.26459250062579, -2.9231745754982787)",637.779,15.000000000059453,11.000000000084224
Uribarri,N/A,N9607363904,"(43.2682033, -2.9265437)",660.349,16.50000000001982,14.500000000024773
Uribarri,N/A,W123440604,"(43.26872494896904, -2.9260301349397224)",724.21,21.50000000000001,14.500000000024773
