territory,building_type,osmid,coord,distance,rise,fall
Ibaiondo,N/A,W108497734,"(43.25874273518262, -2.9247747311690637)",297.68600000000004,9.500000000024777,2.000000000004956
Abando,N/A,W110895854,"(43.26092919682561, -2.9269453237882157)",305.36300000000006,19.99999999999009,1.5000000000297309
Ibaiondo,N/A,W485363913,"(43.25997684824978, -2.9220146785419328)",307.168,13.000000000059462,1.5000000000297327
Abando,N/A,W44113519,"(43.25993749738077, -2.9264652360563534)",362.408,18.50000000003468,6.000000000044595
Abando,N/A,W28776478,"(43.259963913422865, -2.9284384320288925)",468.047,22.500000000064418,1.500000000059467
Ibaiondo,N/A,W41525574,"(43.25771234249542, -2.9221397271902023)",485.44,13.500000000044597,2.0000000000495533
Abando,N/A,W44016098,"(43.261229928011566, -2.929048100639934)",555.963,27.000000000094154,1.5000000000594742
Ibaiondo,N/A,W420558992,"(43.256988569906525, -2.92040166742721)",675.4849999999999,27.00000000003469,2.0000000000495533
Uribarri,N/A,W248634544,"(43.26459250062579, -2.9231745754982787)",715.038,20.500000000039645,8.500000000079279
