territory,building_type,osmid,coord,distance,rise,fall
Ibaiondo,N/A,W404432093,"(43.25599232855877, -2.9282142750288136)",302.75,11.500000000009923,1.999999999980183
Ibaiondo,N/A,N5056088727,"(43.2562779, -2.9264049)",394.14099999999996,1.5000000000297433,7.500000000004963
Ibaiondo,N/A,W108497734,"(43.25874273518262, -2.9247747311690637)",540.8499999999999,1.999999999985139,10.999999999940538
Ibaiondo,N/A,N11229801356,"(43.2538282, -2.9319814)",576.8270000000001,40.000000000114,4.00000000000496
Abando,N/A,W110895854,"(43.26092919682561, -2.9269453237882157)",615.177,14.000000000059465,12.000000000074323
Abando,N/A,W44113519,"(43.25993749738077, -2.9264652360563534)",672.2220000000001,12.500000000104055,16.500000000089187
Abando,N/A,W28776478,"(43.259963913422865, -2.9284384320288925)",777.8610000000001,16.50000000013379,12.000000000104059
Abando,N/A,W108504682,"(43.26150873360247, -2.9323193974511943)",805.4379999999999,14.50000000008919,9.000000000034682
Abando,N/A,W44016098,"(43.261229928011566, -2.929048100639934)",865.777,21.000000000163528,12.000000000104066
Abando,N/A,N3207631929,"(43.2618877, -2.9308223)",920.8459999999998,15.500000000069374,9.000000000034682
