territory,building_type,osmid,coord,distance,rise,fall
Deusto,tourism_hostel,N3004608569,"(43.2687748, -2.9545458)",129.934,0.0,4.500000000009907
Deusto,amenity_place_of_worship,W185205678,"(43.270495984069676, -2.9536808799959586)",151.90200000000002,6.999999999965331,0.0
Deusto,amenity_school,W248684621,"(43.27026384014726, -2.9519081118250723)",293.978,7.499999999935616,0.0
Deusto,amenity_arts_centre,N12087072670,"(43.2699399, -2.9504322)",298.22700000000003,7.499999999935612,0.0
Deusto,amenity_arts_centre,N4254035917,"(43.2686591, -2.9494622)",356.121,5.5000000000297184,5.000000000054483
Deusto,amenity_theatre,N10315485009,"(43.2718672, -2.9532544)",391.74,17.999999999985143,0.0
Deusto,amenity_school,W185205752,"(43.2684144593636, -2.9486194979724067)",411.56999999999994,5.5000000000297184,6.500000000019812
Deusto,amenity_school,W185205751,"(43.26985222807176, -2.955056771945497)",411.8090000000001,4.499999999999998,5.500000000044574
Deusto,amenity_school,N1759584097,"(43.2722245, -2.9510542)",510.286,17.999999999950475,1.0000000000594262
Deusto,railway_subway_entrance,N652111388,"(43.2705875, -2.9494092)",532.109,15.499999999985144,4.999999999975241
Deusto,amenity_police,W185205676,"(43.2730320456833, -2.9532225738516544)",565.33,28.00000000001486,3.467093279141409e-11
Deusto,shop_mall,N4262153026,"(43.2711079, -2.9487353)",588.061,15.500000000004947,0.0
Deusto,shop_mall,W174293196,"(43.27145723476136, -2.9487516219122725)",588.061,15.500000000004947,0.0
Deusto,amenity_library,N10308512109,"(43.2723012, -2.9505157)",595.626,17.999999999950482,2.5000000000693348
Deusto,railway_subway_entrance,N571805608,"(43.2718219, -2.9494558)",608.9530000000001,16.999999999895998,0.0
Deusto,amenity_library,N10575964741,"(43.2724615, -2.9507625)",623.1080000000002,37.99999999998514,3.466382736405649e-11
Basurtu-Zorrotza,building_train_station,W163196919,"(43.26433534839249, -2.955077952360856)",1690.5890000000002,23.500000000163464,24.000000000153552
