territory,building_type,osmid,coord,distance,rise,fall
Ibaiondo,N/A,W108497734,"(43.25874273518262, -2.9247747311690637)",125.727,0.49999999995539923,2.5000000000198206
Ibaiondo,N/A,N5056088727,"(43.2562779, -2.9264049)",338.13599999999997,2.4999999999108056,1.4999999999950475
Ibaiondo,N/A,W41525574,"(43.25771234249542, -2.9221397271902023)",347.268,2.4999999999306226,0.5000000000198206
Ibaiondo,N/A,W485363913,"(43.25997684824978, -2.9220146785419328)",476.82900000000006,12.000000000009903,10.000000000064416
Ibaiondo,N/A,W404432093,"(43.25599232855877, -2.9282142750288136)",486.547,18.4999999999009,1.999999999980183
Ibaiondo,N/A,W420558992,"(43.256988569906525, -2.92040166742721)",537.3129999999999,15.999999999920714,0.5000000000198206
Abando,N/A,W110895854,"(43.26092919682561, -2.9269453237882157)",586.036,19.49999999991576,10.500000000039641
Abando,N/A,W44113519,"(43.25993749738077, -2.9264652360563534)",643.081,17.99999999996035,15.000000000054506
Abando,N/A,W28776478,"(43.259963913422865, -2.9284384320288925)",748.72,21.999999999990088,10.500000000069377
Abando,N/A,W44016098,"(43.261229928011566, -2.929048100639934)",836.636,26.500000000019824,10.500000000069384
