territory,building_type,osmid,coord,distance,rise,fall
Abando,tourism_hostel,N5056378492,"(43.2581798, -2.9439545)",57.836,0.0,0.0
Abando,amenity_school,W174088383,"(43.258071420606136, -2.9426844799068728)",92.552,0.0,1.499999999970271
Abando,building_train_station,W41584747,"(43.25823481651728, -2.946006178624259)",243.447,1.5000000000148574,2.500000000039634
Abando,railway_subway_entrance,N510562751,"(43.2606628, -2.94272)",322.37899999999996,0.0,9.500000000009909
Abando,amenity_place_of_worship,W132575975,"(43.25788824999999, -2.9389887000000003)",375.72,2.9999999999851354,4.4999999999752305
Errekalde,railway_subway_entrance,N4541084182,"(43.2547373, -2.9438461)",414.32599999999996,4.500000000069377,7.500000000113985
Errekalde,building_train_station,W111740255,"(43.25465516232399, -2.943640524057168)",414.32599999999996,4.500000000069377,7.500000000113985
Abando,railway_subway_entrance,N5044373236,"(43.2599287, -2.9408038)",421.295,1.0000000000297362,7.000000000024784
Abando,amenity_place_of_worship,W41586292,"(43.2600826018563, -2.9410293255920963)",421.295,1.0000000000297362,7.000000000024784
Abando,amenity_police,W185201415,"(43.259573873833325, -2.9391097665235018)",446.02,2.0000000000346887,11.500000000059462
Abando,amenity_school,W174482534,"(43.260286715295, -2.9415964249186772)",451.95000000000005,1.499999999980183,9.499999999995044
Abando,railway_subway_entrance,N571809293,"(43.2612436, -2.9423379)",458.32499999999993,2.0000000000297256,9.500000000009909
Abando,amenity_theatre,N10315426810,"(43.2601868, -2.9408164)",463.089,1.0000000000297362,8.50000000000496
Basurtu-Zorrotza,amenity_place_of_worship,R11227990,"(43.25576330060649, -2.947366226912851)",491.826,6.500000000094161,3.500000000084256
Abando,amenity_library,N1116551010,"(43.2587313, -2.938108)",510.09999999999997,2.5000000000148788,11.500000000009926
Abando,railway_subway_entrance,N1851625175,"(43.2608046, -2.9400076)",556.693,1.0000000000297362,10.000000000014868
Abando,amenity_school,W174482524,"(43.26103224056917, -2.943555683435342)",569.1729999999999,0.0,12.500000000014865
Basurtu-Zorrotza,amenity_library,N10313715009,"(43.2567015, -2.9490922)",575.926,12.500000000113985,4.50000000010408
Errekalde,railway_subway_entrance,N4541079485,"(43.2540911, -2.9419025)",610.982,5.500000000143714,7.500000000113985
Basurtu-Zorrotza,amenity_place_of_worship,W521860095,"(43.25903349804755, -2.9482902674061107)",618.634,4.500000000064411,8.000000000044587
