territory,building_type,osmid,coord,distance,rise,fall
Abando,N/A,W110895854,"(43.26092919682561, -2.9269453237882157)",125.958,13.499999999970271,0.0
Abando,N/A,W44113519,"(43.25993749738077, -2.9264652360563534)",183.00300000000001,12.000000000014861,4.5000000000148646
Abando,N/A,W28776478,"(43.259963913422865, -2.9284384320288925)",288.642,16.000000000044597,2.973621349156019e-11
Ibaiondo,N/A,W108497734,"(43.25874273518262, -2.9247747311690637)",334.351,8.00000000001982,5.4999999999900915
Ibaiondo,N/A,W485363913,"(43.25997684824978, -2.9220146785419328)",355.802,11.500000000054506,5.000000000014868
Abando,N/A,W44016098,"(43.261229928011566, -2.929048100639934)",376.558,20.500000000074333,2.9743318918917794e-11
Ibaiondo,N/A,W41525574,"(43.25771234249542, -2.9221397271902023)",534.0740000000001,12.000000000039641,5.500000000034689
Uribarri,N/A,W248634544,"(43.26459250062579, -2.9231745754982787)",535.6329999999999,14.000000000019822,7.000000000049548
Abando,N/A,N3207631929,"(43.2618877, -2.9308223)",550.543,18.000000000019824,3.552713678800501e-15
Ibaiondo,N/A,N5056088727,"(43.2562779, -2.9264049)",582.8250000000002,7.500000000094154,2.0000000000842455
