territory,building_type,osmid,coord,distance,rise,fall
Uribarri,N/A,N4508853267,"(43.2655628, -2.9205809)",167.791,0.0,19.00000000004954
Uribarri,N/A,N5056356248,"(43.2663985, -2.918579)",274.237,16.000000000049553,6.5
Uribarri,N/A,W248634544,"(43.26459250062579, -2.9231745754982787)",379.96000000000004,1.4210854715202004e-14,35.000000000024784
Uribarri,N/A,N5056353256,"(43.2689626, -2.9250581)",556.5379999999999,10.500000000014875,36.50000000004459
Uribarri,N/A,N4060532227,"(43.2648784, -2.9149249)",665.04,29.000000000004974,20.500000000059458
