territory,building_type,osmid,coord,distance,rise,fall
Deusto,amenity_community_centre,N6777788085,"(43.2672525, -2.9597383)",487.299,1.9999999999900924,3.999999999985139
Deusto,amenity_theatre,N3696895644,"(43.2673338, -2.9604465)",505.069,1.9999999999900924,3.999999999985139
Deusto,tourism_hostel,N3004608569,"(43.2687748, -2.9545458)",855.8439999999998,12.00000000010897,10.000000000094113
Deusto,amenity_arts_centre,W176679093,"(43.26780294167776, -2.960577805719317)",893.285,2.5000000000099045,4.499999999999997
Deusto,amenity_school,W185205751,"(43.26985222807176, -2.955056771945497)",1223.0589999999997,16.50000000010897,11.000000000128782
Basurtu-Zorrotza,building_train_station,W163196919,"(43.26433534839249, -2.955077952360856)",2315.87,22.000000000188233,16.000000000153555
Basurtu-Zorrotza,building_train_station,W163196944,"(43.26431167828029, -2.9553483053682954)",2315.87,22.000000000188233,16.000000000153555
Basurtu-Zorrotza,amenity_place_of_worship,W163196945,"(43.265461037844666, -2.9606482549113027)",2782.267,56.50000000024272,32.00000000020805
