territory,building_type,osmid,coord,distance,rise,fall
Begona,railway_subway_entrance,N5923164459,"(43.2470028, -2.9055002)",302.009,0.0,5.500000000009916
Begona,building_train_station,W262197081,"(43.24721948941041, -2.905694544078832)",506.63100000000003,8.50000000000496,14.000000000014879
Begona,railway_subway_entrance,N5923164463,"(43.2470897, -2.9058799)",513.446,8.500000000004967,13.500000000000007
Begona,building_train_station,W627458954,"(43.24706648377492, -2.9056005672304304)",513.446,8.500000000004967,13.500000000000007
Begona,building_train_station,W627458976,"(43.24700044461815, -2.9057383069873937)",513.446,8.500000000004967,13.500000000000007
Otxarkoaga-Txurdinaga,amenity_school,W298580885,"(43.252145781885545, -2.9041002912407294)",1286.085,50.00000000002482,14.49999999999509
