territory,building_type,osmid,coord,distance,rise,fall
Ibaiondo,N/A,W404432093,"(43.25599232855877, -2.9282142750288136)",572.8009999999999,21.000000000054513,7.500000000064418
Ibaiondo,N/A,N5056088727,"(43.2562779, -2.9264049)",664.192,11.000000000074333,13.000000000089198
Ibaiondo,N/A,W108497734,"(43.25874273518262, -2.9247747311690637)",810.9009999999998,11.500000000029729,16.500000000024773
Abando,N/A,W110895854,"(43.26092919682561, -2.9269453237882157)",885.228,23.500000000104055,17.500000000158558
Abando,N/A,W44113519,"(43.25993749738077, -2.9264652360563534)",942.273,22.000000000148646,22.000000000173422
Ibaiondo,N/A,W41525574,"(43.25771234249542, -2.9221397271902023)",1032.442,13.500000000004952,14.500000000024773
Abando,N/A,W28776478,"(43.259963913422865, -2.9284384320288925)",1047.912,26.00000000017838,17.500000000188294
Ibaiondo,N/A,W485363913,"(43.25997684824978, -2.9220146785419328)",1115.072,21.50000000018829,22.500000000173422
Abando,N/A,W44016098,"(43.261229928011566, -2.929048100639934)",1135.828,30.500000000208118,17.5000000001883
Abando,N/A,N3207631929,"(43.2618877, -2.9308223)",1190.897,25.000000000113964,14.500000000118916
