territory,building_type,osmid,coord,distance,rise,fall
Ibaiondo,amenity_arts_centre,N4739465025,"(43.2565748, -2.9301923)",121.93100000000001,10.500000000009912,0.0
Ibaiondo,amenity_theatre,W51983636,"(43.257134045213036, -2.9276101063578492)",125.474,7.105427357601002e-15,3.500000000019824
Ibaiondo,amenity_theatre,N4739625417,"(43.2570118, -2.9282729)",125.474,7.105427357601002e-15,3.500000000019824
Ibaiondo,tourism_hostel,N4267974389,"(43.255786, -2.9280257)",240.24200000000002,9.99999999998019,1.999999999980183
Ibaiondo,tourism_museum,W404432093,"(43.25599232855878, -2.9282142750288136)",240.24200000000002,9.99999999998019,1.999999999980183
Ibaiondo,amenity_place_of_worship,N11668868453,"(43.2558175, -2.9279267)",278.194,9.99999999998019,1.999999999980183
Ibaiondo,tourism_hostel,N5056090690,"(43.2556034, -2.9315688)",294.48,18.99999999996532,2.9999999999207176
Ibaiondo,amenity_library,N10307691910,"(43.2562769, -2.9265364)",331.633,1.0658141036401503e-14,7.500000000004963
Abando,amenity_place_of_worship,W203275368,"(43.25756029703332, -2.9330188676365134)",350.67400000000004,12.99999999999504,3.0000000000445937
Ibaiondo,amenity_school,W248857735,"(43.258446968221755, -2.9264004622419817)",371.567,7.105427357601002e-15,16.00000000005451
Ibaiondo,building_train_station,W489794666,"(43.255969018795504, -2.9327365417066513)",403.71,18.999999999965326,7.500000000004967
Ibaiondo,amenity_library,N7000718987,"(43.2577057, -2.9253459)",415.11,0.4999999999554099,8.499999999920718
Ibaiondo,tourism_hostel,N3837244786,"(43.2578183, -2.9253554)",415.11,0.4999999999554099,8.499999999920718
Ibaiondo,amenity_police,N6462703895,"(43.256351, -2.9267781)",415.47900000000004,9.99999999998019,11.999999999995058
Ibaiondo,amenity_library,N10303509734,"(43.2563269, -2.9265843)",415.47900000000004,9.99999999998019,11.999999999995058
Ibaiondo,amenity_theatre,N10646824505,"(43.2587198, -2.9249554)",420.904,0.49999999995540634,8.499999999920718
Ibaiondo,amenity_school,W165645783,"(43.25405003153166, -2.927189817999719)",471.48100000000005,17.000000000014886,8.50000000002975
Ibaiondo,building_public,W108497734,"(43.25874273518263, -2.9247747311690633)",478.342,0.49999999995540634,10.999999999940538
Ibaiondo,amenity_place_of_worship,W301583287,"(43.25418140212627, -2.9324946957341824)",489.41700000000003,27.50000000002975,4.00000000000496
Errekalde,amenity_police,N1773085424,"(43.2571384, -2.9349085)",502.26900000000006,15.0000000000446,6.0000000000991065
Abando,tourism_hostel,N12038252591,"(43.2585706, -2.93319)",519.1569999999999,16.500000000049553,6.000000000034682
Ibaiondo,amenity_theatre,W28320546,"(43.25944120388599, -2.924987937905504)",543.9490000000001,1.000000000029738,19.000000000059465
Ibaiondo,amenity_library,N11229801356,"(43.2538282, -2.9319814)",549.047,38.50000000008426,4.00000000000496
Ibaiondo,building_public,W174495760,"(43.255487081105514, -2.9242375622713803)",561.9820000000001,1.9999999999454978,14.999999999965318
Errekalde,amenity_school,W146669288,"(43.25526346281122, -2.933798192832977)",573.565,32.500000000099114,3.0000000000446008
Ibaiondo,amenity_place_of_worship,R7560683,"(43.25719378146312, -2.923726218031054)",575.33,0.9999999999504539,9.49999999997523
Abando,amenity_theatre,W203301018,"(43.25961489485082, -2.931457238939802)",643.167,10.500000000009912,9.000000000029729
Abando,railway_subway_entrance,N5299959448,"(43.2606099, -2.9270819)",663.272,12.500000000104063,13.500000000104063
Abando,railway_subway_entrance,N5299959447,"(43.2605927, -2.9271124)",666.3520000000001,12.500000000104063,13.500000000104063
Abando,building_train_station,W44113519,"(43.259937497380776, -2.926465236056355)",686.43,12.500000000104063,18.000000000118927
Abando,railway_subway_entrance,N5299959446,"(43.2609173, -2.9275115)",693.016,15.500000000084249,13.500000000104066
Abando,shop_mall,W44111840,"(43.260718571133225, -2.9273748430805266)",693.6550000000001,12.500000000104066,13.500000000104063
Abando,railway_subway_entrance,N5299959445,"(43.2608615, -2.9276065)",702.7769999999999,15.500000000084253,13.500000000104066
Abando,railway_subway_entrance,N4879362987,"(43.2608021, -2.9274814)",720.1990000000001,14.000000000059476,15.000000000059472
Ibaiondo,amenity_theatre,W314579101,"(43.25253967996139, -2.928209723690653)",731.8870000000001,25.000000000004988,7.50000000006446
Abando,amenity_school,W148389816,"(43.26034678398649, -2.9320764638486048)",752.2609999999999,12.99999999999504,12.499999999999993
Abando,building_train_station,W28776478,"(43.25996391342287, -2.9284384320288925)",792.069,16.5000000001338,13.500000000133799
Abando,amenity_place_of_worship,W110726474,"(43.26090877383502, -2.92978567668919)",876.69,15.50000000009414,8.00000000006441
