territory,building_type,osmid,coord,distance,rise,fall
Uribarri,amenity_place_of_worship,N6178510177,"(43.2644773, -2.9159313)",289.01,7.000000000039641,2.500000000049546
Uribarri,railway_subway_entrance,N4060532227,"(43.2648784, -2.9149249)",404.257,20.000000000099107,8.500000000123862
Ibaiondo,railway_subway_entrance,N559203040,"(43.2602464, -2.9198909)",426.98400000000004,8.000000000109004,7.500000000069363
Uribarri,railway_subway_entrance,N4508853267,"(43.2655628, -2.9205809)",434.24600000000004,4.500000000000043,20.500000000019853
Uribarri,railway_subway_entrance,N4060532222,"(43.2665934, -2.9180824)",470.84499999999997,19.500000000079297,5.000000000044622
Ibaiondo,amenity_place_of_worship,N6612828074,"(43.2594381, -2.9188197)",501.19100000000003,14.500000000158558,7.50000000006937
Ibaiondo,tourism_hostel,N4847061832,"(43.2593563, -2.9190096)",517.1370000000001,14.500000000158558,7.50000000006937
Uribarri,railway_subway_entrance,N4060532226,"(43.2648881, -2.9134062)",531.9359999999999,30.500000000084242,8.500000000123862
Uribarri,amenity_school,W476184022,"(43.26663423116968, -2.9156067047203797)",544.606,35.000000000153584,14.500000000133745
Uribarri,railway_subway_entrance,N4952944853,"(43.2648405, -2.9135495)",552.3249999999999,30.500000000084242,8.500000000123862
Uribarri,railway_subway_entrance,N5302324517,"(43.2668121, -2.9208691)",561.2090000000001,22.50000000004463,26.000000000014893
Uribarri,railway_subway_entrance,N4060532214,"(43.2641221, -2.9131204)",591.2849999999999,49.00000000013873,2.5000000000495604
Uribarri,amenity_school,W123440601,"(43.26650910693881, -2.92105747075796)",592.738,22.50000000004463,28.99999999994555
Ibaiondo,amenity_school,W289798436,"(43.26118152813459, -2.9220859899968175)",630.55,8.000000000109011,37.50000000000496
Uribarri,building_public,W248634544,"(43.26459250062578, -2.923174575498278)",649.5640000000001,4.500000000000043,36.49999999999508
Uribarri,amenity_townhall,W28210378,"(43.26421680000001, -2.92346335)",664.2409999999999,1.0000000000346958,44.50000000000992
Uribarri,amenity_police,N3999132003,"(43.2643109, -2.9237538)",715.185,1.0000000000346958,44.50000000000992
Uribarri,amenity_place_of_worship,N620032721,"(43.2631793, -2.9120957)",770.7140000000002,70.00000000011894,2.500000000049603
Ibaiondo,tourism_hostel,W173091204,"(43.25844537253583, -2.9185868614666655)",814.8810000000001,14.500000000158565,29.500000000193253
Ibaiondo,amenity_community_centre,W462350867,"(43.259603099365414, -2.921958448215474)",829.2809999999998,8.500000000118916,41.000000000044594
Ibaiondo,railway_subway_entrance,N4456565174,"(43.2599587, -2.9221643)",872.4949999999998,8.500000000118916,41.000000000044594
Ibaiondo,building_train_station,W485363913,"(43.25997684824979, -2.9220146785419328)",896.1379999999998,8.500000000118916,41.000000000044594
Ibaiondo,amenity_place_of_worship,W41789694,"(43.26017858770202, -2.922571763912898)",901.2479999999998,8.500000000118916,48.50000000008919
Ibaiondo,amenity_library,N12036600761,"(43.2604528, -2.9221755)",961.7719999999997,11.500000000148646,41.0000000000446
