territory,building_type,osmid,coord,distance,rise,fall
Basurtu-Zorrotza,amenity_library,N10313715009,"(43.2567015, -2.9490922)",100.13699999999999,0.0,1.00000000005452
Basurtu-Zorrotza,amenity_police,W408633232,"(43.2565796201018, -2.9493267089254327)",100.13699999999999,0.0,1.00000000005452
Basurtu-Zorrotza,amenity_place_of_worship,R11227990,"(43.25576330060649, -2.947366226912851)",185.39299999999997,0.0,6.00000000005452
Abando,building_train_station,W41584747,"(43.25823481651728, -2.946006178624259)",297.414,1.0000000000099263,11.000000000099128
Errekalde,amenity_place_of_worship,N8894270302,"(43.2542534, -2.9466821)",413.10800000000006,2.0000000000247837,7.000000000089216
Basurtu-Zorrotza,amenity_place_of_worship,W521860095,"(43.25903349804755, -2.9482902674061107)",424.91600000000005,6.441780442401068e-11,12.500000000109019
Basurtu-Zorrotza,railway_subway_entrance,N4944875063,"(43.2594993, -2.9525533)",440.127,7.000000000019824,11.000000000094161
Abando,tourism_hostel,N5056378492,"(43.2581798, -2.9439545)",445.163,3.5000000000495533,12.500000000113978
Basurtu-Zorrotza,building_train_station,W402170994,"(43.25967701277512, -2.9532145370708145)",498.721,4.500000000019831,8.500000000094161
Basurtu-Zorrotza,railway_subway_entrance,N4944875070,"(43.2600187, -2.9537148)",546.928,10.000000000039648,16.00000000008921
Basurtu-Zorrotza,building_train_station,W163128700,"(43.261459197014496, -2.948830847035061)",611.603,1.500000000039659,19.50000000007436
Basurtu-Zorrotza,railway_subway_entrance,N6139261848,"(43.2614654, -2.9489264)",615.9549999999999,1.500000000039659,19.50000000007436
Errekalde,amenity_school,W388280876,"(43.25316084419019, -2.9493565790141965)",726.854,24.000000000029743,6.000000000044615
