date,hour_of_day,osmid,subarea,help_convined,help_independent,rank,building_type_name
2024-03-25,0,N707156296,Deusto,2,23,20,amenity_place_of_worship
2024-03-25,0,W176664325,Deusto,2,22,21,amenity_place_of_worship
2024-03-25,0,W248855598,Uribarri,2,21,21,amenity_school
2024-03-25,0,N6462703895,Ibaiondo,2,19,24,amenity_police
2024-03-25,0,N10571583809,Errekalde,2,14,15,amenity_library
2024-03-25,0,W254514789,Deusto,2,13,22,amenity_community_centre
2024-03-25,0,W185206614,Deusto,2,12,23,amenity_school
2024-03-25,0,W185205676,Deusto,2,10,24,amenity_police
2024-03-25,0,W289798436,Ibaiondo,2,10,25,amenity_school
2024-03-25,0,W173091204,Ibaiondo,2,7,26,tourism_hostel
2024-03-25,0,W162445376,Uribarri,2,5,22,building_public
2024-03-25,0,W627458976,Begona,2,5,11,building_train_station
2024-03-25,0,W162445381,Uribarri,2,2,23,building_public
2024-03-25,0,W368598943,Basurtu-Zorrotza,2,2,17,amenity_police
2024-03-25,0,W41642582,Ibaiondo,2,2,27,amenity_place_of_worship
2024-03-25,0,N4060532213,Uribarri,1,120,24,railway_subway_entrance
2024-03-25,0,N4060532214,Uribarri,1,119,25,railway_subway_entrance
2024-03-25,0,N6178510177,Uribarri,1,106,26,amenity_place_of_worship
2024-03-25,0,W1339744898,Abando,1,88,22,building_public
2024-03-25,0,W107531575,Abando,1,77,23,amenity_courthouse
2024-03-25,0,W174088383,Abando,1,57,24,amenity_school
2024-03-25,0,W115272112,Otxarkoaga-Txurdinaga,1,24,17,amenity_place_of_worship
2024-03-25,0,N4944875063,Basurtu-Zorrotza,1,20,18,railway_subway_entrance
2024-03-25,0,N6777788085,Deusto,1,20,25,amenity_community_centre
2024-03-25,0,N3922519111,Errekalde,1,15,16,tourism_museum
2024-03-25,0,W133202039,Deusto,1,14,26,amenity_school
2024-03-25,0,W28463782,Begona,1,14,12,amenity_place_of_worship
2024-03-25,0,W174088302,Abando,1,9,25,building_public
2024-03-25,0,W386847400,Otxarkoaga-Txurdinaga,1,7,18,amenity_community_centre
2024-03-25,0,W185205751,Deusto,1,4,27,amenity_school
2024-03-25,0,N5308301923,Basurtu-Zorrotza,1,2,19,tourism_museum
2024-03-25,0,W404633890,Basurtu-Zorrotza,1,1,20,amenity_police
2024-03-25,1,W301694701,Basurtu-Zorrotza,246,246,1,amenity_place_of_worship
2024-03-25,1,W108497734,Ibaiondo,160,160,1,building_public
2024-03-25,1,N4952944853,Uribarri,155,155,1,railway_subway_entrance
2024-03-25,1,N3207631929,Abando,135,135,1,amenity_arts_centre
2024-03-25,1,N4060532222,Uribarri,129,137,2,railway_subway_entrance
2024-03-25,1,W300969657,Basurtu-Zorrotza,96,96,2,amenity_place_of_worship
2024-03-25,1,W305271005,Uribarri,88,88,3,amenity_community_centre
2024-03-25,1,N4739465025,Ibaiondo,85,85,2,amenity_arts_centre
2024-03-25,1,N9423152961,Abando,76,96,2,tourism_hostel
2024-03-25,1,N5056378492,Abando,58,58,3,tourism_hostel
2024-03-25,1,W891085786,Errekalde,57,57,1,amenity_place_of_worship
2024-03-25,1,N620032721,Uribarri,56,69,4,amenity_place_of_worship
2024-03-25,1,W201671663,Otxarkoaga-Txurdinaga,56,56,1,amenity_school
2024-03-25,1,N4105324002,Abando,55,55,4,amenity_police
2024-03-25,1,W518582008,Abando,54,66,5,amenity_place_of_worship
2024-03-25,1,W40321136,Ibaiondo,53,53,3,amenity_school
2024-03-25,1,N506170042,Begona,51,51,1,railway_subway_entrance
2024-03-25,1,W297437908,Basurtu-Zorrotza,49,49,3,amenity_place_of_worship
2024-03-25,1,W302874410,Uribarri,49,49,5,amenity_place_of_worship
2024-03-25,1,N4060532221,Uribarri,47,108,6,railway_subway_entrance
2024-03-25,1,N1851625175,Abando,46,47,6,railway_subway_entrance
2024-03-25,1,N6612828074,Ibaiondo,46,46,4,amenity_place_of_worship
2024-03-25,1,N11641427626,Deusto,45,45,1,tourism_museum
2024-03-25,1,W521860095,Basurtu-Zorrotza,44,44,4,amenity_place_of_worship
2024-03-25,1,W146669294,Errekalde,42,42,2,amenity_place_of_worship
2024-03-25,1,N4060532216,Otxarkoaga-Txurdinaga,39,39,2,railway_subway_entrance
2024-03-25,1,W112164512,Deusto,38,38,2,amenity_place_of_worship
2024-03-25,1,N4060532217,Otxarkoaga-Txurdinaga,37,40,3,railway_subway_entrance
2024-03-25,1,W302871940,Begona,36,48,2,amenity_school
2024-03-25,1,W248684621,Deusto,36,36,3,amenity_school
2024-03-25,1,W138646173,Basurtu-Zorrotza,35,47,5,amenity_school
2024-03-25,1,W53668485,Ibaiondo,33,33,5,amenity_school
2024-03-25,1,W40287021,Ibaiondo,31,49,6,amenity_school
2024-03-25,1,W138709160,Errekalde,31,31,3,amenity_school
2024-03-25,1,W40111841,Begona,30,32,3,amenity_place_of_worship
2024-03-25,1,W41577091,Ibaiondo,29,55,7,amenity_place_of_worship
2024-03-25,1,W40347954,Begona,28,33,4,amenity_school
2024-03-25,1,N610953374,Uribarri,27,79,7,amenity_place_of_worship
2024-03-25,1,W248831480,Abando,27,31,7,amenity_school
2024-03-25,1,W201506082,Otxarkoaga-Txurdinaga,27,28,4,amenity_school
2024-03-25,1,R6809489,Begona,25,35,5,tourism_hostel
2024-03-25,1,N3696895644,Deusto,25,25,4,amenity_theatre
2024-03-25,1,N11229801356,Ibaiondo,23,36,8,amenity_library
2024-03-25,1,N5299547436,Deusto,23,25,5,railway_subway_entrance
2024-03-25,1,N4944875070,Basurtu-Zorrotza,23,23,6,railway_subway_entrance
2024-03-25,1,W185282136,Deusto,23,23,6,amenity_school
2024-03-25,1,W52528082,Basurtu-Zorrotza,22,43,7,tourism_hostel
2024-03-25,1,W111740255,Errekalde,22,30,4,building_train_station
2024-03-25,1,W165888796,Ibaiondo,21,41,9,amenity_place_of_worship
2024-03-25,1,W163196919,Basurtu-Zorrotza,21,21,8,building_train_station
2024-03-25,1,W165462102,Errekalde,21,21,5,amenity_school
2024-03-25,1,W248854014,Abando,21,21,8,amenity_school
2024-03-25,1,N4060532227,Uribarri,20,126,8,railway_subway_entrance
2024-03-25,1,N5552087740,Uribarri,20,24,9,tourism_hostel
2024-03-25,1,N571803300,Deusto,20,23,7,railway_subway_entrance
2024-03-25,1,N4456565174,Ibaiondo,19,70,10,railway_subway_entrance
2024-03-25,1,W28757167,Abando,19,64,9,amenity_place_of_worship
2024-03-25,1,W622325547,Otxarkoaga-Txurdinaga,19,21,5,amenity_police
2024-03-25,1,W453719236,Ibaiondo,19,19,11,building_train_station
2024-03-25,1,N1892943135,Begona,17,21,6,amenity_place_of_worship
2024-03-25,1,W40401013,Begona,16,30,7,amenity_place_of_worship
2024-03-25,1,W297437909,Basurtu-Zorrotza,16,25,9,tourism_hostel
2024-03-25,1,W388280876,Errekalde,16,23,6,amenity_school
2024-03-25,1,W163196945,Basurtu-Zorrotza,16,21,10,amenity_place_of_worship
2024-03-25,1,W251096855,Basurtu-Zorrotza,16,17,11,amenity_school
2024-03-25,1,N10313700309,Deusto,16,16,8,amenity_theatre
2024-03-25,1,W298580885,Otxarkoaga-Txurdinaga,16,16,6,amenity_school
2024-03-25,1,N5702888919,Errekalde,15,37,7,amenity_community_centre
2024-03-25,1,N11882322969,Abando,15,27,10,amenity_theatre
2024-03-25,1,N10313715009,Basurtu-Zorrotza,15,17,12,amenity_library
2024-03-25,1,W165645783,Ibaiondo,14,34,12,amenity_school
2024-03-25,1,W185284035,Ibaiondo,14,15,13,amenity_school
2024-03-25,1,N4060532223,Uribarri,13,116,10,railway_subway_entrance
