date,hour_of_day,osmid,subarea,help_convined,help_independent,rank
2024-08-12,5,N4060532227,Uribarri,299,299,1
2024-08-12,5,W485363913,Ibaiondo,179,179,1
2024-08-12,5,N5056353256,Uribarri,168,168,2
2024-08-12,5,W28776478,Abando,152,172,1
2024-08-12,5,N4060532217,Otxarkoaga-Txurdinaga,98,98,1
2024-08-12,5,N4508853267,Uribarri,95,192,3
2024-08-12,5,N4060532216,Otxarkoaga-Txurdinaga,91,91,2
2024-08-12,5,W163195554,Basurtu-Zorrotza,67,67,1
2024-08-12,5,N4060532220,Otxarkoaga-Txurdinaga,21,67,3
2024-08-12,6,N4060532227,Uribarri,299,299,1
2024-08-12,6,W485363913,Ibaiondo,179,179,1
2024-08-12,6,N5056353256,Uribarri,168,168,2
2024-08-12,6,W28776478,Abando,152,172,1
2024-08-12,6,N5056379164,Abando,146,146,2
2024-08-12,6,N4060532217,Otxarkoaga-Txurdinaga,98,98,1
2024-08-12,6,N4508853267,Uribarri,95,192,3
2024-08-12,6,N4060532216,Otxarkoaga-Txurdinaga,91,91,2
2024-08-12,6,W111740255,Errekalde,39,115,1
2024-08-12,6,W163195554,Basurtu-Zorrotza,30,67,1
2024-08-12,6,N4060532220,Otxarkoaga-Txurdinaga,21,67,3
2024-08-12,6,N5301954699,Basurtu-Zorrotza,10,10,2
2024-08-12,6,W44113519,Abando,3,150,3
2024-08-12,7,N4060532227,Uribarri,299,299,1
2024-08-12,7,W485363913,Ibaiondo,179,179,1
2024-08-12,7,N5056353256,Uribarri,168,168,2
2024-08-12,7,W28776478,Abando,152,172,1
2024-08-12,7,N5056379164,Abando,146,146,2
2024-08-12,7,N4060532217,Otxarkoaga-Txurdinaga,98,98,1
2024-08-12,7,N4508853267,Uribarri,95,192,3
2024-08-12,7,N4060532216,Otxarkoaga-Txurdinaga,91,91,2
2024-08-12,7,W111740255,Errekalde,39,115,1
2024-08-12,7,W163195554,Basurtu-Zorrotza,30,67,1
2024-08-12,7,N4060532220,Otxarkoaga-Txurdinaga,21,67,3
2024-08-12,7,N5301954699,Basurtu-Zorrotza,10,10,2
2024-08-12,7,W44113519,Abando,3,150,3
2024-08-12,8,N4060532227,Uribarri,299,299,1
2024-08-12,8,W485363913,Ibaiondo,179,179,1
2024-08-12,8,N5056353256,Uribarri,168,168,2
2024-08-12,8,W28776478,Abando,152,172,1
2024-08-12,8,N5056379164,Abando,146,146,2
2024-08-12,8,N5056356248,Uribarri,114,264,3
2024-08-12,8,N4060532217,Otxarkoaga-Txurdinaga,98,98,1
2024-08-12,8,N4060532216,Otxarkoaga-Txurdinaga,91,91,2
2024-08-12,8,W41688628,Abando,57,98,3
2024-08-12,8,N5056437799,Deusto,53,53,1
2024-08-12,8,N5056355015,Uribarri,39,268,4
2024-08-12,8,W111740255,Errekalde,39,115,1
2024-08-12,8,W163195554,Basurtu-Zorrotza,30,67,1
2024-08-12,8,N4060532220,Otxarkoaga-Txurdinaga,21,67,3
2024-08-12,8,N5301954699,Basurtu-Zorrotza,10,10,2
2024-08-12,8,W123440604,Uribarri,9,100,5
2024-08-12,8,N4508853267,Uribarri,6,192,6
2024-08-12,8,W123440625,Uribarri,4,4,7
2024-08-12,8,W44113519,Abando,3,150,4
2024-08-12,9,N4060532227,Uribarri,299,299,1
2024-08-12,9,W108497734,Ibaiondo,265,265,1
2024-08-12,9,W108504682,Abando,182,182,1
2024-08-12,9,N5056353256,Uribarri,168,168,2
2024-08-12,9,N5056328910,Begona,152,152,1
2024-08-12,9,N5056379164,Abando,146,146,2
2024-08-12,9,N5056356248,Uribarri,114,264,3
2024-08-12,9,N11229807742,Basurtu-Zorrotza,113,113,1
2024-08-12,9,N11229801356,Ibaiondo,111,111,2
2024-08-12,9,W164512079,Otxarkoaga-Txurdinaga,108,108,1
2024-08-12,9,N4761972760,Abando,97,98,3
2024-08-12,9,N9607391207,Begona,90,99,2
2024-08-12,9,N4060532216,Otxarkoaga-Txurdinaga,86,91,2
2024-08-12,9,W96337695,Abando,66,113,4
2024-08-12,9,N9607455457,Errekalde,64,65,1
2024-08-12,9,N4731925117,Abando,59,80,5
2024-08-12,9,N5056437799,Deusto,53,53,1
2024-08-12,9,N5056183351,Errekalde,51,88,2
2024-08-12,9,N10308519810,Deusto,48,48,2
2024-08-12,9,N5056088727,Ibaiondo,41,218,3
2024-08-12,9,W48045715,Uribarri,39,268,4
2024-08-12,9,W110895854,Abando,36,216,6
2024-08-12,9,W185205681,Deusto,35,35,3
2024-08-12,9,W420558992,Ibaiondo,30,197,4
2024-08-12,9,W111740255,Errekalde,27,115,3
2024-08-12,9,N4060532217,Otxarkoaga-Txurdinaga,18,98,3
2024-08-12,9,W163195554,Basurtu-Zorrotza,17,67,2
2024-08-12,9,N9607363904,Uribarri,10,88,5
2024-08-12,9,N5301954699,Basurtu-Zorrotza,10,10,3
2024-08-12,9,W248634544,Uribarri,8,149,6
2024-08-12,9,W123440625,Uribarri,4,4,7
2024-08-12,9,W28776478,Abando,1,172,7
2024-08-12,9,N4060532220,Otxarkoaga-Txurdinaga,1,67,4
2024-08-12,10,N4060532227,Uribarri,299,299,1
2024-08-12,10,W41525574,Ibaiondo,271,271,1
2024-08-12,10,W44016098,Abando,192,192,1
2024-08-12,10,N5056353256,Uribarri,168,168,2
2024-08-12,10,N5056379164,Abando,146,146,2
2024-08-12,10,N5056328910,Begona,130,152,1
2024-08-12,10,W404432093,Ibaiondo,119,192,2
2024-08-12,10,N5056356248,Uribarri,114,264,3
2024-08-12,10,N11229807742,Basurtu-Zorrotza,113,113,1
2024-08-12,10,W164512079,Otxarkoaga-Txurdinaga,108,108,1
2024-08-12,10,W28211432,Abando,103,103,3
2024-08-12,10,N9607391207,Begona,90,99,2
2024-08-12,10,N5056183351,Errekalde,88,88,1
2024-08-12,10,N4060532216,Otxarkoaga-Txurdinaga,86,91,2
2024-08-12,10,W96337695,Abando,76,113,4
2024-08-12,10,N4761972760,Abando,68,98,5
2024-08-12,10,N9607455457,Errekalde,64,65,2
2024-08-12,10,N5056437799,Deusto,53,53,1
2024-08-12,10,N10308519810,Deusto,48,48,2
2024-08-12,10,W48045715,Uribarri,39,268,4
2024-08-12,10,N4731925117,Abando,38,80,6
2024-08-12,10,W185205681,Deusto,35,35,3
2024-08-12,10,W111740255,Errekalde,27,115,3
2024-08-12,10,N4060532217,Otxarkoaga-Txurdinaga,18,98,3
2024-08-12,10,W163195554,Basurtu-Zorrotza,17,67,2
2024-08-12,10,W248634544,Uribarri,15,149,5
2024-08-12,10,N11229801356,Ibaiondo,14,111,3
2024-08-12,10,N9607363904,Uribarri,10,88,6
2024-08-12,10,N5301954699,Basurtu-Zorrotza,10,10,3
2024-08-12,10,W420558992,Ibaiondo,6,197,4
2024-08-12,10,W108504682,Abando,6,182,7
2024-08-12,10,W123440625,Uribarri,4,4,7
2024-08-12,10,N5056088727,Ibaiondo,3,218,5
2024-08-12,10,W28776478,Abando,1,172,8
2024-08-12,10,N4060532220,Otxarkoaga-Txurdinaga,1,67,4
2024-08-12,11,N4060532227,Uribarri,299,299,1
2024-08-12,11,W41525574,Ibaiondo,271,271,1
2024-08-12,11,W44016098,Abando,192,192,1
2024-08-12,11,N5056353256,Uribarri,168,168,2
2024-08-12,11,N5056379164,Abando,146,146,2
